 	li	vestono	i	genitori	</S>
a31	0.21301815	0.1975751	0.19642276	0.19644704	0.19653699
a46	0.011518898	0.22710736	0.29246518	0.16863008	0.30027846
a18	0.004707683	0.36645365	0.35034838	0.17193279	0.10655752
a35	0.00964293	0.5730378	0.27432695	0.024187682	0.11880457
a15	0.0065578427	0.6091295	0.23781101	0.030971844	0.11552977
a39	0.016408656	0.47000358	0.25851417	0.025581563	0.22949207
a31	0.037049074	0.5066726	0.20457536	0.028188262	0.22351474
a11	0.033110686	0.68654263	0.13597092	0.027019225	0.11735659
a20	0.053156283	0.5149042	0.22772227	0.034806818	0.16941044
a31	0.10230429	0.5777959	0.14844881	0.06638864	0.10506237
a39	0.14750157	0.47566855	0.23791364	0.069783464	0.06913275
a20	0.08753738	0.5223433	0.20275372	0.083650745	0.10371491
a46	0.22406405	0.3517084	0.18759213	0.1110726	0.1255628
a31	0.13015035	0.41556922	0.18578757	0.11621473	0.15227813
a15	0.4795659	0.13965324	0.14219224	0.11952805	0.11906059
a24	0.13758455	0.30751202	0.2405705	0.15011553	0.16421737
a20	0.18556358	0.22184953	0.19078617	0.18526353	0.21653719
a31	0.21515292	0.2018849	0.18088149	0.17347252	0.22860818
a13	0.1838307	0.2689745	0.22638212	0.14767322	0.17313938
a46	0.14873877	0.28695598	0.18775737	0.16952826	0.20701964
a14	0.23738109	0.18990062	0.18664894	0.18629667	0.19977264
a20	0.17977464	0.24517152	0.20218638	0.17291528	0.19995221
a31	0.08181922	0.30839857	0.25765285	0.1766927	0.17543675
</S>	0.18667889	0.21043098	0.19698048	0.17391121	0.23199847
