 	l	ho	sentito	che	viene	</S>
a34	0.06733736	0.0658529	0.06620745	0.08222074	0.47159696	0.24678457
a46	0.588071	0.069948316	0.021357786	0.06460422	0.17976102	0.07625762
a41	0.39154807	0.43618187	0.08162873	0.040197212	0.0456102	0.0048338887
a19	0.1784729	0.0956672	0.026240248	0.041975718	0.599486	0.05815796
a31	0.19300975	0.13590021	0.050131135	0.16279812	0.36551732	0.09264344
a20	0.3453588	0.08843567	0.019145869	0.1383712	0.27017027	0.13851826
a31	0.17509663	0.090567626	0.06941995	0.1607912	0.3623395	0.14178506
a24	0.18348198	0.04615314	0.029655645	0.13758126	0.3793147	0.2238133
a31	0.08361388	0.16086654	0.09282099	0.091621734	0.50546557	0.06561124
a23	0.06997321	0.033640478	0.054582566	0.046842035	0.46837345	0.32658818
a20	0.0812972	0.029669145	0.104423426	0.09740651	0.53912616	0.14807752
</S>	0.047056835	0.048520952	0.13374646	0.055235945	0.4518659	0.26357388
