 	dopo	Giovanni	é	tornato	a	casa	</S>
a31	0.1326971	0.13119367	0.13138238	0.13167569	0.13708484	0.17256334	0.163403
a20	0.10084486	0.2535372	0.015201225	0.062345665	0.19701846	0.15153871	0.2195139
a17	0.16514938	0.5327625	0.008683878	0.07961898	0.08914387	0.04158559	0.08305573
a31	0.14499477	0.558246	0.008525787	0.028268006	0.0873272	0.05712936	0.115508795
a39	0.10201051	0.43506154	0.042986378	0.13732333	0.13272332	0.059548844	0.09034613
a31	0.06390955	0.21839297	0.008635072	0.03445926	0.16862422	0.16803351	0.33794546
a20	0.05536418	0.26051325	0.013850184	0.0868579	0.29128277	0.06631506	0.22581664
a31	0.109425835	0.29193103	0.013128949	0.053933185	0.16457634	0.1044795	0.2625251
a13	0.11077172	0.3669664	0.0125443945	0.06361428	0.14902042	0.04826191	0.24882092
a24	0.11395564	0.22584854	0.02170165	0.06715109	0.20291638	0.09440209	0.27402455
a46	0.063092954	0.07741548	0.034777917	0.15982154	0.28671288	0.07144314	0.30673608
a31	0.187557	0.15976173	0.056895647	0.149483	0.13336325	0.09176324	0.22117619
a20	0.43268323	0.11713799	0.11764648	0.033099514	0.062349148	0.04300105	0.1940826
a31	0.242182	0.17878388	0.04995648	0.06896099	0.16407138	0.06372892	0.23231637
a18	0.44878772	0.1895306	0.11489701	0.051638216	0.047192037	0.06764905	0.08030534
a20	0.39832243	0.21999918	0.08957769	0.074357904	0.079309955	0.06210463	0.07632822
a31	0.44864297	0.19870809	0.14253226	0.07946077	0.037447173	0.040178817	0.053029902
a11	0.3965566	0.2028057	0.16766529	0.08243798	0.036692146	0.057429746	0.056412574
a31	0.39366195	0.17969774	0.14436333	0.09782326	0.05649779	0.05315909	0.07479683
a28	0.31480885	0.17921728	0.17194495	0.08743486	0.06066939	0.12212106	0.063803576
a41	0.31844634	0.19356008	0.16692899	0.12930706	0.055533666	0.056303415	0.079920486
a8	0.2730743	0.16757265	0.14731862	0.101926506	0.07702979	0.14940697	0.0836712
a33	0.15029073	0.13186851	0.12830786	0.12478184	0.124303706	0.2063936	0.1340537
</S>	0.15913624	0.14649594	0.13414556	0.11383414	0.116749614	0.20858938	0.12104912
