 	e	che	cucino	</S>
a31	0.1655709	0.16932566	0.18836366	0.47673982
a24	0.075668976	0.10674964	0.17884378	0.6387376
a31	0.44277674	0.08933641	0.16634654	0.30154032
a11	0.86782354	0.048708085	0.030128328	0.053340025
a46	0.81525356	0.0904565	0.016304255	0.077985674
a41	0.8099173	0.05016177	0.031879228	0.10804163
a20	0.7618804	0.052020703	0.023311032	0.16278782
a36	0.75284463	0.10144512	0.022142721	0.12356759
a31	0.45115876	0.15380408	0.10048811	0.29454896
a46	0.15581164	0.20013787	0.45247173	0.19157879
</S>	0.1303792	0.22331908	0.24367613	0.40262562
