 	non	ho	dove	d	andare	</S>
a20	0.15058286	0.15050797	0.15123728	0.16590206	0.1626282	0.21914157
a31	0.015327312	0.029416269	0.075671114	0.2500492	0.30500743	0.32452863
a37	0.11172489	0.2017556	0.09417092	0.052629154	0.18702458	0.35269484
a31	0.13195255	0.3978525	0.23948802	0.08465969	0.073533796	0.07251333
a29	0.09307751	0.3951334	0.22250265	0.097144864	0.0994299	0.09271156
a41	0.071178585	0.27385417	0.15081161	0.090501174	0.1346722	0.27898228
a31	0.09568784	0.124701664	0.23089123	0.21399169	0.15302055	0.18170701
a18	0.07521595	0.14441714	0.29461434	0.28518358	0.10038964	0.10017942
a31	0.043173883	0.22104709	0.1707032	0.26283422	0.071933396	0.23030818
a39	0.09384708	0.052053854	0.060890626	0.3000812	0.10384614	0.38928112
a31	0.17725663	0.13864739	0.11512085	0.28800166	0.12841032	0.15256312
a8	0.05673098	0.04402086	0.15270348	0.3576509	0.1728932	0.21600065
a31	0.06582023	0.04556049	0.10847791	0.24360111	0.2300466	0.30649367
a8	0.07639335	0.07344648	0.22355498	0.37185118	0.12568274	0.12907135
</S>	0.07439275	0.053400215	0.1641548	0.22262047	0.13406533	0.35136646
