 	è	possibile	che	è	entrato	da	qui	</S>
a13	0.19195569	0.122833975	0.11378761	0.10943465	0.108706445	0.12096966	0.112672955	0.11963897
a31	0.0951645	0.027264193	0.05646288	0.22129567	0.009398096	0.17371498	0.19843635	0.2182633
a15	0.24063282	0.0026582037	0.071270406	0.547278	0.0118096005	0.016209427	0.058990706	0.051150866
a20	0.10825326	0.0025639771	0.070482396	0.34835654	0.012263465	0.071214706	0.304645	0.08222063
a11	0.11695826	0.034399945	0.10200089	0.34157723	0.0049965465	0.0689643	0.1508778	0.18022507
a31	0.06152283	0.021737374	0.12582475	0.29853475	0.10742497	0.13953443	0.15824716	0.08717374
a39	0.08530416	0.025115503	0.3553317	0.27065477	0.15620533	0.034601867	0.034031145	0.0387555
a46	0.13432285	0.026739616	0.42376655	0.29773885	0.03750528	0.037425674	0.015583044	0.026918137
a18	0.3492634	0.061304595	0.079144515	0.10062	0.16572364	0.071869895	0.095143124	0.07693085
a31	0.16224614	0.06972351	0.0834082	0.09668334	0.37756774	0.10053001	0.068550386	0.041290715
a13	0.17149822	0.11069751	0.14093624	0.13185984	0.27493316	0.09719338	0.04794938	0.024932222
a31	0.3327141	0.11438047	0.048816957	0.07071977	0.17646366	0.17393446	0.040271275	0.042699303
a46	0.19503807	0.07332854	0.06845581	0.047143694	0.323961	0.16036858	0.09239744	0.039306905
a31	0.24737744	0.064277045	0.061677728	0.06117184	0.17275342	0.2588035	0.067864604	0.06607439
</S>	0.16655372	0.085711874	0.06732485	0.059488993	0.27312157	0.16143642	0.13084196	0.05552062
