 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.08247853	0.08248765	0.08252233	0.08327128	0.082837164	0.08273421	0.11025527	0.09332197	0.11064855	0.098301195	0.09114188
a31	0.0615752	0.023152389	0.00074661616	0.030170772	0.06399551	0.19305553	0.19112019	0.054228984	0.09002121	0.14420596	0.14772762
a20	0.09063907	0.064063914	0.0023607328	0.030188251	0.056176495	0.18243268	0.26175416	0.04375629	0.06512843	0.10257878	0.100921184
a13	0.1382293	0.07628291	0.012998773	0.09260493	0.23818843	0.095742054	0.09732463	0.014181913	0.07626394	0.086196	0.07198722
a37	0.1208706	0.08663034	0.030149592	0.039761	0.19291244	0.11122988	0.1389977	0.02723065	0.09928612	0.08813072	0.064800836
a31	0.2358512	0.18307775	0.017553674	0.015838087	0.04362133	0.11849298	0.20368037	0.05235964	0.05846877	0.032884017	0.03817225
a43	0.27174297	0.17431952	0.0048901415	0.029973675	0.06308522	0.15037307	0.10765004	0.051547453	0.06693853	0.023848882	0.055630554
a31	0.019437298	0.016410377	0.0018208453	0.011047624	0.017637325	0.04831154	0.12739	0.03654835	0.2158061	0.1202608	0.38532978
a24	0.035508405	0.023309048	0.0016987765	0.014538409	0.030322457	0.036185462	0.25018173	0.015833208	0.40499794	0.041315418	0.14610913
a7	0.024106301	0.014336093	0.0021006966	0.009970342	0.040013343	0.0893858	0.14559625	0.015091966	0.18720713	0.15013233	0.3220598
a31	0.02432719	0.026401319	0.0032301792	0.02317564	0.036078066	0.049964648	0.09896463	0.0165634	0.23705591	0.12879318	0.3554458
a13	0.022099972	0.01473999	0.0035561123	0.011703615	0.04552616	0.11603672	0.1199813	0.009371041	0.41157418	0.09012071	0.15529026
a28	0.007950025	0.0057680146	0.0026223212	0.011107642	0.052592777	0.056044232	0.085288905	0.010390788	0.45192528	0.13314961	0.18316048
a20	0.00524488	0.0045243846	0.0019673994	0.008596883	0.025509525	0.038191028	0.1176507	0.013172688	0.54143137	0.10289055	0.14082052
a31	0.007476201	0.0053540682	0.0015842527	0.00692677	0.019224307	0.024175985	0.13242447	0.011366316	0.59875554	0.05796166	0.1347504
a37	0.017132696	0.014469451	0.009984368	0.023872254	0.021045117	0.02885195	0.28555855	0.028272273	0.38089883	0.05543386	0.13448064
a1	0.013839845	0.011599328	0.004262173	0.009926391	0.019941974	0.062268503	0.3526494	0.020079507	0.3227186	0.101679355	0.08103493
a28	0.012908575	0.008531974	0.0054677897	0.011489947	0.014623771	0.0163467	0.48549044	0.029637676	0.30618203	0.055542603	0.053778525
a1	0.014842992	0.009858024	0.0076665822	0.015401547	0.016874133	0.018094601	0.4970147	0.032583386	0.29690808	0.04456064	0.04619538
a28	0.021123763	0.02037102	0.02337214	0.043774977	0.053326733	0.044659276	0.28066713	0.044655427	0.29167947	0.0927558	0.08361434
a31	0.02879362	0.025091695	0.024576904	0.041548714	0.046187505	0.050469372	0.3277266	0.062487856	0.20811364	0.100363135	0.08464097
a20	0.042727392	0.054995492	0.072124615	0.098924406	0.11043194	0.076774016	0.11703051	0.094303414	0.135677	0.101193026	0.09581822
a31	0.05403304	0.05434862	0.055887274	0.081483066	0.07698357	0.068554975	0.16353521	0.110918865	0.10931826	0.14627607	0.078660995
a20	0.045735065	0.054266177	0.071325004	0.12739994	0.15020283	0.07055786	0.04700321	0.114439115	0.1064239	0.1132294	0.099417545
a31	0.076250486	0.076621786	0.077247076	0.08441763	0.086594045	0.078072116	0.120200254	0.09798364	0.08376395	0.13915928	0.07968973
a8	0.04709928	0.054967005	0.07124296	0.12517215	0.1400939	0.07087371	0.044290192	0.118129306	0.10797415	0.1177636	0.10239374
</S>	0.069282785	0.06965379	0.070682906	0.08859761	0.07906109	0.07078231	0.0789229	0.12761296	0.096836336	0.16610391	0.08246337
