 	io	non	ho	niente	da	mangiare	</S>
a8	0.12348561	0.123487964	0.123420715	0.24358793	0.12529576	0.12497992	0.13574208
a31	0.3455381	0.21039799	0.15051898	0.18263012	0.022290796	0.053699598	0.034924448
a8	0.23455398	0.24305616	0.18228215	0.08122713	0.08327223	0.09068113	0.08492715
a20	0.11172991	0.17226414	0.16464254	0.12060118	0.262526	0.1077925	0.06044374
a31	0.23752847	0.37958157	0.1637608	0.04767187	0.04693626	0.07886114	0.045659866
a14	0.23365727	0.3005079	0.21363953	0.11217467	0.039493926	0.07665083	0.023875892
a31	0.13764359	0.25728807	0.1957016	0.12399179	0.11784938	0.10772014	0.059805423
a13	0.07738932	0.1866177	0.34041032	0.23591815	0.09258781	0.04364691	0.023429723
a37	0.1365532	0.118151724	0.24122167	0.32936293	0.11514673	0.040018693	0.01954514
a10	0.085289314	0.10728542	0.20465375	0.50202936	0.07135202	0.016910775	0.012479405
a20	0.06034608	0.026195886	0.047646787	0.7011227	0.10175183	0.034715652	0.028221069
a7	0.089375675	0.048109517	0.0647848	0.65881526	0.08965153	0.025436604	0.023826616
a18	0.042917155	0.014791241	0.013174913	0.853266	0.03565336	0.013421447	0.026775958
a44	0.03738476	0.0118589075	0.00937979	0.89024633	0.019300297	0.0071687545	0.024661055
</S>	0.015080465	0.011781833	0.009098476	0.90083164	0.021463748	0.01249687	0.029246941
