 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.09676451	0.09675285	0.09692241	0.102363355	0.09774677	0.09984232	0.09876182	0.103637174	0.09919618	0.108012624
a37	0.06928593	0.071538284	0.021913996	0.06766878	0.14327523	0.0972106	0.077488005	0.14227359	0.15701927	0.15232624
a31	0.14759721	0.25035632	0.14617252	0.04001387	0.049627278	0.016787594	0.04074358	0.08505547	0.11749747	0.1061487
a20	0.09044512	0.19508962	0.2932584	0.041370127	0.1337931	0.05208503	0.038798764	0.05319853	0.05235655	0.049604803
a31	0.14867146	0.1735521	0.15834448	0.18858445	0.09038044	0.022664955	0.03276672	0.04490425	0.09047053	0.04966054
a13	0.102241725	0.17421651	0.26025358	0.030560965	0.093417615	0.03684317	0.053712804	0.08322711	0.10285899	0.06266755
a31	0.072554335	0.08065593	0.04481217	0.3537767	0.24350066	0.04124651	0.03171331	0.044409227	0.049200922	0.038130276
a20	0.113593094	0.104381084	0.02714672	0.227039	0.37655464	0.04150839	0.016127082	0.02931668	0.04874853	0.015584728
a17	0.06497964	0.06691999	0.01978844	0.30495754	0.32028174	0.023020057	0.018129865	0.068083376	0.06322369	0.05061569
a20	0.01729662	0.015205146	0.011434696	0.30770132	0.501488	0.0070695276	0.008088809	0.060740303	0.044616822	0.026358768
a31	0.040952463	0.05928625	0.042584866	0.1679531	0.37314874	0.013431018	0.012487321	0.11789149	0.10675349	0.06551131
a20	0.0563176	0.05501701	0.066422045	0.25987983	0.2909651	0.018054442	0.020299561	0.05987225	0.098519064	0.07465314
a31	0.1145558	0.15688246	0.11741995	0.10462447	0.22932489	0.016616901	0.013968638	0.06892196	0.07825171	0.09943319
a3	0.10310908	0.0976841	0.12116131	0.18912314	0.1260736	0.04626469	0.046252247	0.052064776	0.0798386	0.13842852
a8	0.12659442	0.13361429	0.11916546	0.088849515	0.0970267	0.05342026	0.048874576	0.054209493	0.07391136	0.2043339
</S>	0.07524118	0.057753798	0.03731304	0.07104879	0.057421993	0.070913404	0.06233726	0.088313244	0.101431474	0.3782258
