 	se	vieni	a	casa	ogni	sabato	</S>
a23	0.13000913	0.1301002	0.13360262	0.13092257	0.13320994	0.14939547	0.19276007
a31	0.3627558	0.12828143	0.18171169	0.13243993	0.06768512	0.040001925	0.08712411
a11	0.79596144	0.08951811	0.0342918	0.045716356	0.018462397	0.006999682	0.00905021
a21	0.17655435	0.22275652	0.38682744	0.09768168	0.056528628	0.041493867	0.018157532
a31	0.24215356	0.4044993	0.19042127	0.056131672	0.041228518	0.036878325	0.02868741
a20	0.156192	0.37681025	0.27156147	0.11805734	0.028417718	0.030468555	0.018492647
a31	0.26504183	0.2502857	0.18555385	0.16595545	0.07644327	0.02365746	0.03306236
a10	0.21016656	0.08883389	0.45228058	0.13626581	0.03226414	0.051277164	0.028911877
a31	0.21632479	0.09304596	0.56526566	0.073206134	0.0111446995	0.025919545	0.015093119
a21	0.24653493	0.050155308	0.44851896	0.044848558	0.024661744	0.13671036	0.048570067
a11	0.39223486	0.1731844	0.29790285	0.06485858	0.021860773	0.03762513	0.012333358
a3	0.110690705	0.083632305	0.22020186	0.26948735	0.1339157	0.12625815	0.055813953
a33	0.06318109	0.035160314	0.11612157	0.11963038	0.17640617	0.22059453	0.26890594
</S>	0.05939607	0.058702517	0.07295514	0.06831675	0.12089018	0.19445081	0.42528853
