 	non	è	li	dimentichiamo	mai	i	i	padri	e	le	madri	</S>
a31	0.060785294	0.060360037	0.0667873	0.07992716	0.16304326	0.12238442	0.1141206	0.06040349	0.07316348	0.076873764	0.0604257	0.061725426
a18	0.11257164	0.020712847	0.00089494063	0.00047091252	0.0010813603	0.002714023	0.010995577	0.0025412887	0.065879956	0.037818566	0.6871709	0.057147916
a31	0.28770304	0.22350329	0.006018198	0.000877194	0.00042404258	0.0010251447	0.00625992	0.0033891473	0.11873103	0.07668542	0.1903273	0.085056275
a20	0.20737498	0.3599495	0.0202745	0.0069175293	0.0009397292	0.0008275491	0.004611415	0.0024083087	0.18997565	0.09905333	0.04114343	0.06652415
a15	0.23028173	0.184402	0.011331542	0.0041024485	0.008924113	0.0050647124	0.011298746	0.0065286113	0.11089882	0.07154691	0.2793079	0.0763125
a31	0.2835098	0.15998168	0.0035069024	0.0034578512	0.008275029	0.0074164947	0.010164215	0.0046999156	0.079094686	0.05504341	0.2943252	0.09052482
a20	0.21724293	0.16288094	0.003794895	0.005601645	0.025483765	0.010406641	0.02270549	0.00696608	0.15003963	0.086958215	0.20518725	0.10273249
a11	0.068725504	0.17248628	0.015495527	0.012769182	0.050631154	0.025701514	0.051361717	0.0045486093	0.18064837	0.1736671	0.13643898	0.107526086
a0	0.1313275	0.1484545	0.013036973	0.016164716	0.046441354	0.021523546	0.03970745	0.0032459695	0.16626532	0.14978479	0.17675301	0.08729487
a41	0.04031616	0.06325617	0.011828631	0.009060767	0.015120352	0.031166365	0.060637552	0.0011711847	0.24413782	0.31434816	0.05520939	0.15374747
a20	0.02767589	0.04253265	0.008897479	0.01003615	0.013671625	0.028719302	0.027119832	0.0011765744	0.2701208	0.38283923	0.024546303	0.16266416
a31	0.030919857	0.053455133	0.0096953325	0.01312783	0.024610477	0.040175755	0.030659443	0.0014769711	0.25365177	0.43783396	0.0076165227	0.096776895
a30	0.04982712	0.096441545	0.008948546	0.010600663	0.013597764	0.037547417	0.029168848	0.0018850244	0.22672832	0.44506526	0.015042962	0.065146595
a31	0.078125015	0.21066518	0.011388515	0.016008046	0.037978403	0.04594748	0.03491726	0.0034443107	0.15640266	0.36437887	0.0062950524	0.034449153
a20	0.095834106	0.076212846	0.014226954	0.013149036	0.01202201	0.028673459	0.035530105	0.0016604994	0.15448038	0.5388041	0.015363009	0.014043415
a31	0.13165897	0.10582671	0.011671969	0.013722303	0.014033033	0.028468559	0.023493204	0.002198975	0.10385756	0.534456	0.014461974	0.016150786
a37	0.15090965	0.07271326	0.02783547	0.01745787	0.01281898	0.016335918	0.023836378	0.004468721	0.1012605	0.5458222	0.011473713	0.015067353
a35	0.18434663	0.060507305	0.020994393	0.027377255	0.01931199	0.03222715	0.034080688	0.0049121943	0.0923454	0.49604383	0.013575242	0.014277892
a11	0.086956926	0.048825078	0.049186964	0.07018831	0.0401151	0.0398693	0.0805844	0.011074888	0.124303386	0.38715506	0.027096888	0.03464365
a46	0.15113817	0.05214869	0.09326559	0.1061144	0.047700796	0.051509775	0.10260931	0.020979926	0.07400217	0.24442303	0.01865711	0.037451066
a31	0.08210323	0.067504235	0.058208052	0.07593453	0.06989197	0.06637898	0.106337555	0.02264019	0.107666075	0.24629776	0.027297141	0.06974032
a46	0.04583827	0.06818527	0.16471344	0.1731514	0.07068218	0.064025216	0.0669612	0.0745337	0.07230186	0.09430746	0.047086716	0.0582133
a18	0.10407194	0.06097216	0.06693969	0.090521276	0.08082622	0.07924005	0.115925655	0.029067455	0.09203037	0.17695346	0.030966448	0.072485276
a31	0.064133674	0.05675001	0.10623366	0.11413384	0.093227625	0.09316236	0.09940882	0.062996656	0.09405923	0.098605044	0.048669454	0.068619706
a1	0.03201518	0.046226785	0.17638476	0.19578151	0.0838036	0.07933548	0.08202115	0.05475328	0.079247944	0.08361902	0.036245193	0.05056604
a20	0.06849551	0.04293003	0.08881362	0.13024351	0.108852424	0.09947913	0.17494465	0.042457987	0.064757794	0.099828176	0.038935162	0.04026204
a31	0.0535043	0.042493567	0.08681379	0.12272511	0.112058274	0.1101373	0.15018158	0.042231582	0.08763183	0.109100595	0.041002173	0.042119928
a27	0.03199741	0.04251045	0.17877766	0.20101066	0.08679238	0.08201691	0.08244798	0.04826251	0.08188854	0.08574261	0.034228045	0.044324808
a31	0.05001057	0.05254619	0.103832774	0.13145004	0.11981152	0.09160261	0.16119486	0.050329294	0.059904337	0.09366385	0.04173235	0.043921646
a46	0.03605473	0.040197168	0.15112379	0.20482856	0.10147589	0.09470579	0.09490348	0.042299375	0.07887091	0.083083145	0.035523005	0.036934108
</S>	0.05286704	0.048994243	0.07845624	0.10974074	0.13302581	0.12443104	0.12216106	0.04922193	0.08743462	0.09413883	0.048664365	0.050864123
