 	sto	e	cucino	</S>
a31	0.23974633	0.25202572	0.25476956	0.2534584
a20	0.02496762	0.11206947	0.5776681	0.28529486
a31	0.02559853	0.089063354	0.7033038	0.18203427
a37	0.04256851	0.098291285	0.36963284	0.4895073
a18	0.3004335	0.26843056	0.36962625	0.061509725
a31	0.13598722	0.13814816	0.6206903	0.10517438
a20	0.086081624	0.09548754	0.55799454	0.26043624
a31	0.06643087	0.13165736	0.5327779	0.2691339
a28	0.08751518	0.17213953	0.45164108	0.28870425
a33	0.062953	0.1516336	0.43333346	0.35208
a31	0.082597576	0.23420663	0.4088299	0.2743659
</S>	0.17926547	0.28572458	0.2940081	0.24100178
