 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.11979271	0.11973414	0.12080256	0.12323537	0.1203024	0.120546415	0.12236351	0.15322293
a31	0.10639348	0.09711688	0.06338912	0.05869401	0.05892917	0.07045967	0.3181729	0.22684477
a13	0.14294793	0.3926392	0.052929733	0.019831957	0.022739068	0.096043184	0.111620635	0.16124833
a20	0.11346332	0.24551219	0.25953266	0.04962637	0.0907528	0.09348297	0.037578855	0.11005081
a15	0.073263176	0.31543767	0.18760642	0.021743441	0.020824201	0.116694376	0.12852748	0.13590331
a20	0.07188273	0.076324366	0.2077899	0.09227229	0.059246093	0.07294682	0.21363537	0.20590241
a31	0.018050546	0.007646066	0.15668666	0.20053673	0.06652288	0.14927308	0.15555082	0.24573326
a39	0.10704697	0.048239756	0.27879772	0.26165056	0.026179919	0.0128002465	0.059167583	0.20611724
a31	0.08041624	0.05980661	0.1624654	0.25813255	0.043074194	0.015679343	0.04429692	0.33612874
a20	0.2293644	0.05996896	0.12678804	0.1697352	0.0565944	0.04638786	0.13311774	0.1780435
a31	0.16242355	0.0843011	0.24601285	0.27754882	0.05970199	0.03327435	0.031822458	0.10491493
a7	0.28646594	0.053610317	0.16506967	0.17738713	0.073354036	0.039785217	0.078545146	0.12578252
a46	0.3378813	0.052523986	0.1888443	0.20081781	0.069667146	0.04174204	0.038640853	0.06988261
a39	0.17982809	0.061973512	0.19154748	0.23087063	0.07340404	0.052490648	0.06581819	0.14406745
a31	0.21633068	0.13785878	0.21244173	0.13621359	0.0757915	0.071385816	0.07533388	0.074644126
a46	0.3028887	0.22234935	0.18444768	0.092563234	0.07248574	0.04416667	0.044078782	0.03701986
a0	0.26653746	0.10819702	0.116549574	0.11497355	0.070927896	0.06996151	0.082256384	0.17059664
a27	0.13012248	0.13038373	0.12865508	0.12371751	0.11965506	0.11977965	0.12666927	0.12101722
a20	0.1610367	0.18415175	0.13449024	0.09417902	0.10376074	0.12680764	0.10363668	0.09193723
a0	0.22418249	0.12043161	0.09462476	0.106237955	0.13940053	0.18156166	0.059628706	0.07393227
a14	0.21824293	0.095653586	0.10093756	0.08863244	0.12728405	0.20057373	0.079150066	0.089525595
a0	0.23046726	0.13057639	0.12589814	0.054151833	0.13862517	0.17695267	0.066531144	0.076797396
a46	0.26084912	0.112825	0.107775226	0.05772508	0.15122473	0.16642153	0.06231197	0.08086736
a20	0.23525785	0.17409904	0.13044196	0.050471358	0.109327964	0.11689193	0.09352387	0.08998604
</S>	0.2670495	0.15298843	0.17043984	0.05431051	0.14489771	0.10181497	0.05252562	0.05597341
