 	Marika	tu	hai	mangiato	</S>
a8	0.14792345	0.14790416	0.15949167	0.16772656	0.37695414
a31	0.031009149	0.058469586	0.16243461	0.27634007	0.47174656
a24	0.005749791	0.29929247	0.19608967	0.18494426	0.31392378
a31	0.27664813	0.34044167	0.08345403	0.19989593	0.09956022
a28	0.2842185	0.19005986	0.035597563	0.21910699	0.27101713
a31	0.04916159	0.25989854	0.29862544	0.2209931	0.17132121
a3	0.042461365	0.18121946	0.23433943	0.36128518	0.1806946
a18	0.081415266	0.06881163	0.12953149	0.2828123	0.4374293
a31	0.18492419	0.21611944	0.14457709	0.22618835	0.228191
a23	0.029792676	0.03081332	0.104301244	0.26988706	0.5652057
a31	0.107996255	0.086056486	0.23224936	0.27837643	0.29532143
a20	0.072308585	0.06552517	0.23770635	0.2603545	0.36410537
</S>	0.109083615	0.06573197	0.15385038	0.18051258	0.49082145
