 	guardando	le	nuvole	capisco	che	piove	</S>
a8	0.12406269	0.123940736	0.12395181	0.12407035	0.12493722	0.15998207	0.21905512
a23	0.0129306	0.05176088	0.09733608	0.08961974	0.10692389	0.42591816	0.2155107
a31	0.007132245	0.08712091	0.1067117	0.083713554	0.15953693	0.34856638	0.20721821
a17	0.04012531	0.19242623	0.15036102	0.04850462	0.08870922	0.28970158	0.19017205
a31	0.03023578	0.18009521	0.17474541	0.113221414	0.10082589	0.26002735	0.14084893
a10	0.065410525	0.09871644	0.13491783	0.16611716	0.12283219	0.27002773	0.1419781
a20	0.057180677	0.015571048	0.06980936	0.06390224	0.07352215	0.32082888	0.39918563
a8	0.083406955	0.022488657	0.07095124	0.060672726	0.06593527	0.29957414	0.39697102
a17	0.0146217495	0.0046424367	0.040855084	0.09568771	0.11756916	0.30606985	0.42055395
a13	0.0120233875	0.005565243	0.063209645	0.21925192	0.0824463	0.3008508	0.31665272
a20	0.015766677	0.008273822	0.10314268	0.13820148	0.05735576	0.29255065	0.38470894
a31	0.02209253	0.011722621	0.0813363	0.06307888	0.034125477	0.24197555	0.5456686
a37	0.048442088	0.011813947	0.07069286	0.04672537	0.032688566	0.24770841	0.5419288
a31	0.07359101	0.02879728	0.11399794	0.07587915	0.042239096	0.28029698	0.38519856
a0	0.21052295	0.033634845	0.049250796	0.07606692	0.04498831	0.22606291	0.35947335
a31	0.29915652	0.061634295	0.13042177	0.15214291	0.068851724	0.14108025	0.14671256
a10	0.25789168	0.08165686	0.061490115	0.06432718	0.10061853	0.20913406	0.22488153
a39	0.22363096	0.10640262	0.17706835	0.24140044	0.08429524	0.0928833	0.074319094
a46	0.2107296	0.08085843	0.15374866	0.24418367	0.07485644	0.101087175	0.13453607
a8	0.12655361	0.10775915	0.1124271	0.12568128	0.11332876	0.2054732	0.20877694
a20	0.17912626	0.11463332	0.11021521	0.11118953	0.11197066	0.16922252	0.20364253
a8	0.16576684	0.09859093	0.09729804	0.10570841	0.11173631	0.22885403	0.19204542
a46	0.20307691	0.12865134	0.125507	0.12903136	0.124839656	0.13525115	0.15364258
a8	0.14284909	0.113324694	0.11183519	0.11309288	0.1178119	0.22676703	0.17431925
a31	0.23790288	0.13098672	0.12116388	0.12255678	0.121937945	0.1315625	0.13388933
a20	0.1703346	0.10806124	0.105061784	0.109255314	0.11261437	0.22204553	0.17262723
a31	0.22838885	0.07849567	0.16778228	0.23507342	0.12709261	0.08804764	0.07511953
a28	0.21876423	0.09455839	0.14397095	0.23328711	0.12719522	0.09428557	0.08793848
a46	0.14849044	0.08974491	0.16250345	0.25732556	0.15457311	0.09379598	0.093566544
a23	0.18556376	0.10938976	0.12779818	0.20441094	0.13567716	0.12199947	0.1151607
a39	0.26794216	0.10713767	0.098119475	0.13901588	0.10725953	0.1588743	0.121651
a31	0.26803556	0.12580816	0.09756282	0.14789337	0.10853628	0.14243333	0.109730415
</S>	0.25636157	0.11740492	0.109156325	0.14383534	0.1130496	0.143249	0.11694328
