 	era	molto	stanco	</S>
a46	0.25425327	0.2670492	0.23216882	0.24652869
a8	0.021459872	0.051101718	0.14240763	0.7850308
a37	0.19042335	0.35762507	0.23259746	0.21935412
a31	0.03679181	0.31913877	0.2356309	0.4084385
a0	0.039906774	0.12821661	0.06915747	0.76271915
a20	0.031016026	0.10217453	0.0542545	0.81255496
a31	0.115508564	0.25629148	0.10190358	0.5262963
a39	0.03984244	0.21632537	0.053680543	0.69015163
a41	0.055748194	0.30971286	0.09964695	0.53489196
a31	0.051160842	0.30380806	0.12747687	0.5175542
a28	0.06153713	0.31074128	0.21447662	0.413245
a11	0.053389512	0.291919	0.13477908	0.51991236
a20	0.113274515	0.2562697	0.24947275	0.380983
a31	0.13962919	0.37404457	0.21944243	0.26688385
a11	0.18728304	0.4016747	0.22428018	0.18676215
</S>	0.20074534	0.28947905	0.25429043	0.2554852
