 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.12144154	0.12157633	0.12156094	0.12157577	0.121850364	0.12237283	0.12622856	0.14339365
a27	0.07341844	0.09952931	0.12613098	0.10990398	0.12715268	0.13101831	0.21071759	0.12212874
a8	0.13009146	0.11276178	0.13562399	0.14343557	0.17263879	0.09405429	0.14642453	0.06496957
a28	0.08607416	0.25616205	0.29488212	0.12889592	0.07755211	0.03839568	0.06459657	0.053441383
a31	0.11881846	0.4550179	0.14412536	0.06074821	0.05890513	0.05295228	0.0845229	0.02490978
a24	0.054641873	0.43758357	0.2721322	0.066415004	0.037232824	0.034453124	0.0726656	0.024875876
a31	0.07095875	0.13242412	0.051947564	0.050368786	0.11446849	0.13983995	0.24538417	0.19460814
a10	0.23494422	0.23508912	0.06928301	0.08326862	0.14079574	0.04904206	0.092912056	0.09466508
a20	0.101032525	0.054251194	0.029618029	0.030625679	0.0717957	0.049667455	0.40544122	0.25756812
a31	0.10346921	0.09622516	0.0349576	0.057846047	0.13540968	0.04952029	0.3619377	0.16063431
a39	0.079699	0.11874441	0.04839653	0.08875177	0.20969705	0.055872086	0.25405267	0.14478645
a31	0.06622586	0.22003022	0.12919292	0.14401779	0.19603361	0.032363746	0.116540596	0.09559524
a18	0.12280614	0.28663984	0.09482511	0.041436754	0.068534724	0.04270604	0.1585714	0.18447998
a31	0.08398865	0.4060857	0.109644145	0.11080451	0.1415168	0.032211967	0.05707486	0.058673333
a17	0.09445012	0.17169803	0.08362883	0.07587348	0.05253513	0.059630327	0.16452082	0.29766336
a31	0.053487416	0.22422594	0.1311593	0.10501929	0.075483635	0.0698198	0.16575657	0.17504805
a8	0.13022295	0.14362948	0.13269182	0.09512207	0.06843476	0.09151975	0.14932401	0.18905525
</S>	0.05904194	0.1235174	0.068293504	0.053976692	0.06065425	0.07778606	0.21739675	0.3393334
