 	avete	cucinato	le	verdure	</S>
a20	0.152328	0.13789034	0.21705776	0.19936661	0.29335725
a31	0.092592314	0.022290906	0.14803205	0.49501404	0.2420707
a37	0.5773107	0.025174152	0.12269972	0.22401254	0.0508029
a10	0.1722702	0.04739801	0.09953424	0.56320477	0.11759278
a20	0.04524277	0.026278142	0.11762584	0.5595723	0.25128096
a28	0.060232848	0.022722842	0.11331793	0.6256299	0.17809649
a20	0.1415947	0.10491318	0.096597806	0.39080536	0.266089
a33	0.07832939	0.09569448	0.09966504	0.38817307	0.33813804
a8	0.30550474	0.21224771	0.11345929	0.15096532	0.21782303
</S>	0.12597294	0.1884013	0.18557552	0.21315007	0.28690016
