 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.00226844608	0.88636828	0.10686014105	3.32774439e-05	0.00114098327225	0.00015460859775	0.003069405434	0.000104912129
a27	0.00248990196	0.823833826667	0.169151377017	3.39285049667e-05	0.00116278555408	0.000154472191217	0.003069927877	0.00010382807887
a8	0.00130501187	0.604140035556	0.365446722339	0.00341620794199	0.013607915148	0.000118242895706	0.0114928366913	0.000473079905493
a28	0.000593686235667	0.524854358519	0.43727605078	0.0045428314703	0.0177365386417	0.000105459879156	0.0142949625682	0.000596127924958
a31	0.000204784376889	0.764809299506	0.222557102927	0.00151445203558	0.00591473927692	3.5180865073e-05	0.00476572578875	0.000198713892049
a24	0.000345679628296	0.586250275169	0.403650726976	0.00155543130104	0.00635418389633	1.18064903843e-05	0.00176497495786	6.69309671857e-05
a31	0.000391840496985	0.53424052039	0.456506281225	0.00156909221065	0.00650061111508	3.99096634211e-06	0.000764647887385	2.30004761246e-05
a10	0.00251889008655	0.512199568463	0.392058549308	0.0253200699472	0.0657556255213	3.41945580138e-06	0.00212088143056	2.29914858709e-05
a20	0.00482619026218	0.207255977821	0.483299583103	0.0627239899824	0.20658587184	0.000853598076667	0.0316961614769	0.00275864637796
a31	0.00322616706239	0.435433119274	0.276286445901	0.0504183198341	0.190136330613	0.00113492877258	0.039709161274	0.00365552338285
a39	0.00299612132913	0.481383456425	0.185074696834	0.0640038297847	0.238845543538	0.000771715604555	0.0251425735397	0.00178206425115
a31	0.00295959481971	0.493185625475	0.157429552278	0.0686263419082	0.255663196513	0.000650700957972	0.0203264874799	0.00115852764012
a18	0.0038637261499	0.498830567492	0.0943794840927	0.0810546159494	0.294819284171	0.00181242257578	0.0234154281266	0.00182449290311
a31	0.00667878821663	0.345379311497	0.169628664698	0.0925491323165	0.35414319139	0.00220173506486	0.0272348980422	0.0021842703677
a17	0.0120009977389	0.288740441832	0.187373411566	0.152078171106	0.338605690463	0.00145539322789	0.0174869703474	0.00225891832257
a31	0.0661648182463	0.164870068611	0.181939127189	0.183987915369	0.377355530154	0.00126460384596	0.0210754574491	0.00334247964086
a8	0.101600590749	0.123122368804	0.161409677063	0.27788689679	0.261162753385	0.00836460138532	0.0430980091497	0.023355083947
</S>	0.0876749023745	0.063472748302	0.0968195505315	0.434475998395	0.197180911693	0.0160066811927	0.0611268545748	0.0432423269735
