 	sta	seduta	nel	giardino	</S>
a20	0.081899186	0.91125145	2.823461e-07	2.178685729e-06	0.006846947
a17	0.0440335348	0.951556863333	2.90736912667e-07	2.17869583767e-06	0.00440716925667
a20	0.0202431800667	0.966683647778	5.10682683556e-07	4.19026987389e-06	0.0130685290089
a31	0.0119509251222	0.972066195926	5.69489610385e-07	4.85740448485e-06	0.0159775079063
a17	0.0153121878074	0.977349631975	6.6344765286e-05	0.000147321158355	0.00712451403877
a31	0.0148356484358	0.980743510658	8.82687364577e-05	0.000194809202671	0.00413776194626
a46	0.0107950946453	0.698384411886	0.0411154224068	0.172641423207	0.0770636447488
a31	0.0104104543818	0.603282012295	0.0547911625214	0.230123659812	0.101392673748
a20	0.0270680042939	0.825487337432	0.0242274725596	0.0847352010141	0.0384819567473
a31	0.039692620098	0.892156765811	0.0140397563301	0.0362731127645	0.0178377346158
a20	0.036205484366	0.90711829527	0.011508082587	0.0310946533479	0.0140734849053
a18	0.032095703122	0.90848138509	0.011134070829	0.0312793317826	0.0170095104684
a46	0.027006826374	0.861947961697	0.0176155859097	0.0707536055942	0.0226760413228
a20	0.0271647607913	0.840625453899	0.0198968553032	0.0842085015314	0.0281044574409
a31	0.115987406264	0.827949117966	0.00723402868273	0.0303417823805	0.018487667647
a18	0.177892798755	0.520496652655	0.0884039654759	0.190970499664	0.0222360953823
a31	0.161269362918	0.452800497552	0.115482452449	0.244676466188	0.0257712251274
a0	0.144738642973	0.424523553851	0.13562354144	0.281486875029	0.0136273813758
a31	0.157232516324	0.395386972617	0.142398212873	0.29415433461	0.0108279484586
a8	0.146063960108	0.393083693206	0.121463816684	0.327702577803	0.0116859111529
a31	0.161004584703	0.372185866735	0.114612211195	0.339447091668	0.0127502157176
a18	0.158374257568	0.353505538912	0.116526939365	0.360643906289	0.0109493548059
a31	0.184972308523	0.316041029637	0.117314157855	0.36842864703	0.0132438798353
a17	0.191210727508	0.302756949346	0.118476634018	0.373521333943	0.0140343794451
</S>	0.100565710754	0.152641833873	0.177742367009	0.559970591972	0.00907950997255
