 	vuole	pianto	</S>
a39	0.00733493565	0.983931095	0.00873397375
a31	0.00572951855	0.891561918333	0.102708574417
a41	0.0214072804167	0.824327239444	0.154265478139
a31	0.0251875230722	0.886569929815	0.0882425273797
a37	0.0175484212907	0.658332283272	0.324119273793
a11	0.0151019941636	0.583420817757	0.401477176931
a39	0.0128697937879	0.802773392586	0.184356827977
a31	0.0114005750626	0.861763217529	0.126836242659
a46	0.145784375488	0.707319625843	0.14689605422
a31	0.203084973163	0.618105561948	0.178809518073
</S>	0.120915633582	0.708921030974	0.170163374037
