 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
a31	0.38532084	9.74525609e-05	0.0067259082	0.0021280069	5.86027375e-05	8.989849885e-08	0.000408159185	0.3968066085	0.0289270085	0.174699497	5.6345806e-10	2.8114913e-07	0.00266925606	0.00203286925	0.000125396913565
a1	0.331711310847	0.000111862377567	0.00520518646667	0.00183941593667	4.31367375e-05	2.45978070552e-06	0.000646071275	0.410311441833	0.0229334729	0.225486289	5.56839345267e-08	1.01495250983e-07	0.000924481309767	0.000741983055333	4.27666710983e-05
a31	0.110967393562	0.000134310356856	0.00220403367222	0.00084653484889	0.000267634509167	6.22865210184e-06	0.0397888221583	0.416841252278	0.0523887210333	0.374921123	5.05660378176e-07	1.6152828938e-05	0.00125282341969	0.000345816470444	1.86980575661e-05
a20	0.037476776894	6.6025878952e-05	0.00088340713074	0.000491603875463	0.000331375864056	5.77444003395e-06	0.0525873225348	0.221557815759	0.0610416332778	0.623955931	6.02436814059e-07	2.15032424612e-05	0.001360177832	0.000210084611315	9.97059294537e-06
a31	0.0140225089047	3.1298957984e-05	0.00046319318358	0.000271944544321	0.000158837422352	2.69246030465e-06	0.0191734663269	0.182656215253	0.0439676873593	0.738495977	2.05070250186e-07	7.60650536894e-06	0.000652223982767	9.22927702717e-05	3.87303303846e-06
a46	0.00606829112957	0.000178391978661	0.000388275691193	0.000290884434774	0.00222908231412	2.78958840615e-05	0.00817814335897	0.286560655084	0.0418879541198	0.653712799	1.72403260895e-07	2.9743536807e-06	0.000418925725922	5.30569246572e-05	2.53815897949e-06
a31	0.0114238285379	0.000223012889054	0.00144916744373	0.00148487663826	0.00399605760471	3.62534126555e-05	0.00290445321299	0.399292611695	0.0409494980399	0.538056606333	1.59944803165e-07	1.00211645262e-06	0.000160580724641	2.03103025524e-05	1.63300691983e-06
a20	0.0134089386793	0.000187518502518	0.00858747274791	0.00305555314609	0.00746840870157	1.52932981868e-05	0.000998688764997	0.548947283898	0.0398719780133	0.377377240444	8.5597517255e-08	3.44616557093e-07	7.16748363137e-05	8.9451977008e-06	6.28512289943e-07
a31	0.0049564903931	0.000174274586825	0.00992591532264	0.0023488372687	0.00753616919852	8.32366362893e-06	0.000345012195332	0.816081781299	0.0165045715044	0.142087825148	6.0668293885e-08	1.15145981717e-07	2.50987310712e-05	5.24945231693e-06	2.44285949981e-07
a32	0.0019490121877	5.82626890603e-05	0.00356967269421	0.000984922416233	0.00274280953084	4.16633310964e-06	0.000146929126111	0.926409743766	0.00676927676813	0.0573400863827	3.13466177617e-08	3.91999196057e-08	1.67126548904e-05	7.41005077231e-06	9.16647313327e-07
