 	siete	cucinato	</S>
a20	0.891076275	0.107016365	0.00190734495
a31	0.647128818333	0.351081938333	0.00178924911667
a18	0.627533146111	0.371266883444	0.00119998146822
a21	0.873552028704	0.126036575625	0.000411358121073
a37	0.950594529568	0.048756505685	0.000648904576024
a21	0.771967049856	0.154676468562	0.0733564292253
a31	0.616042603285	0.233133622854	0.150823719742
a18	0.435705985762	0.291269294285	0.273024666581
a31	0.146179763421	0.451486064762	0.402334165527
</S>	0.0736982069605	0.511666582381	0.414635247764
