 	il	muro	vuole	uno	specchio	</S>
a23	0.299166345	0.296005535	0.00068884418	6.02175837e-06	0.3886926205	0.01544062925
a20	0.191650535	0.405890335	0.000340911133333	5.867974239e-06	0.387320260067	0.0147921031251
a31	0.245556165	0.616485695	0.00169537159778	8.50946352867e-06	0.131317652589	0.00493662802817
a24	0.271649008333	0.679361048333	0.00221410531593	9.38442661622e-06	0.045114147863	0.00165234776586
a31	0.351115129444	0.630308216111	0.00161413488864	3.65792881207e-06	0.0164060740543	0.000552847768387
a13	0.390982073148	0.56847508537	0.00313367596288	1.14467557707e-05	0.0253997057848	0.0119980576241
a39	0.229236717716	0.686803075123	0.00645776732096	9.53980952569e-05	0.0597566425949	0.0176504108747
a20	0.122942509239	0.700679378374	0.0171747637737	0.00139782075509	0.148551797532	0.00925370295823
a31	0.15513927308	0.671263899458	0.0209957999246	0.0017503170235	0.146222214944	0.00462844485941
a24	0.175260707693	0.726722553153	0.0226972143082	0.0039035633463	0.068710920748	0.00270502492647
a8	0.0985382865643	0.553653394384	0.0507615047694	0.0318099381154	0.237516423583	0.0277204720755
a31	0.119472499521	0.480761908128	0.0521911142565	0.0377926658651	0.274753685994	0.0350281609052
a20	0.14660762984	0.519411802709	0.0620953074188	0.0608369767817	0.191801373465	0.0192469291817
a31	0.13607481328	0.552424534236	0.0630857256396	0.0685217713916	0.165481691322	0.0144114486939
a29	0.14194255776	0.654788288079	0.0652103183799	0.0578348362615	0.0721619319407	0.00806205686463
a31	0.16778295592	0.632542522693	0.0711449257933	0.0543913971438	0.0667736686469	0.00736450828821
a8	0.153165315973	0.585280724231	0.121824151598	0.0651167807713	0.0577885648823	0.0168244297627
a20	0.080498135991	0.515623808077	0.251615647199	0.0773847189238	0.0414451959608	0.0334324679209
</S>	0.0575387829955	0.502788904039	0.3054254536	0.0519156674619	0.0424877814804	0.0398433889605
