 	voglio	un	forno	che	vende	rustici	</S>
a31	0.006415986	0.523813485	0.087828957625	0.00269334865	0.24231271515	0.136457918	0.0004775168285
a37	0.00436098783333	0.2673179801	0.419615205875	0.00240124335	0.240638312677	0.0654946222667	0.000171561778193
a31	0.00498884344444	0.0959682888	0.776295741958	0.0159461759167	0.0838906388523	0.0228429066222	6.73792367577e-05
a17	0.00525804184815	0.0390589187333	0.889676333986	0.0221922721722	0.0334320747841	0.0103491682741	3.31802233859e-05
a20	0.00213620078272	0.0211175717111	0.765086804662	0.0207461619241	0.170154969761	0.0207419838914	1.6290269262e-05
a31	0.00158499306091	0.317041067237	0.406090685221	0.0231468889747	0.229644383254	0.0224801491305	1.18102380873e-05
a41	0.0014097818203	0.408790282412	0.148117592074	0.0135356606582	0.411370767751	0.0167306528768	4.52587463624e-05
a24	0.00364391007343	0.139716763137	0.154614484025	0.0215935672194	0.65221681925	0.0281493462923	6.51303204541e-05
a31	0.00711306502448	0.241884116712	0.189915391342	0.0336512584065	0.495902176417	0.0314634800974	7.05345784847e-05
a39	0.00693623177483	0.274027501837	0.104227944114	0.0284369551355	0.544876812139	0.0395163033658	0.00197828838949
a31	0.0119285313583	0.221072530212	0.101203115038	0.0287221680452	0.59711877738	0.0372564644553	0.0026984328065
a8	0.0156022334528	0.203604110071	0.0990588986793	0.0251066910151	0.444837989127	0.193357596152	0.0184324769455
a26	0.201227746484	0.175031273357	0.0586019565598	0.0131441045717	0.276890227909	0.248591755384	0.0265129226485
a23	0.279629325495	0.169880199119	0.0603337001866	0.0284019240906	0.25269413417	0.171665175128	0.0373955238828
a31	0.342148008498	0.144594794373	0.0499021400622	0.0338339786969	0.24484693849	0.145179967376	0.0394942046276
a20	0.402678066166	0.137402226791	0.0931160486874	0.024863941899	0.193362103263	0.106619588125	0.0419580682092
a39	0.287540118722	0.0757090442637	0.111497039562	0.0235497562997	0.180659585754	0.123214939375	0.197829509403
a11	0.438308672907	0.0632456630879	0.0869676731873	0.0245261004332	0.070022720918	0.0824625224583	0.234466654134
a37	0.671495590969	0.045416723696	0.0868896810624	0.0338566944777	0.0302487806393	0.0373523431528	0.094740204378
a14	0.787530450323	0.033963808232	0.0711930393541	0.0324472144926	0.0150304967131	0.0205048933843	0.039330067126
a24	0.814840536774	0.0298030520773	0.0771213687847	0.0369525221642	0.0109092784044	0.0128445007948	0.017528711042
a28	0.843869245591	0.0251414893591	0.0713529129282	0.0335450043881	0.00826022440147	0.00892260326493	0.00890849814733
a20	0.831176615197	0.031739519453	0.0748962609761	0.0284857414627	0.00855040556716	0.010417019755	0.0147344038491
a8	0.547288610066	0.0704550108177	0.0722874103254	0.0245739860542	0.0103393076891	0.0821091092517	0.192946559616
</S>	0.315101462533	0.0992549554089	0.0466109601627	0.0141097953771	0.00886142034455	0.152398729626	0.363662679808
