 	non	aveva	cosa	a	fare	</S>
a31	0.8848544	3.2361019e-05	0.0374028605	0.0263611755	0.041081014	0.01026820205
a18	0.942823866667	1.086539655e-05	0.0241844028333	0.00945219275033	0.0200000191333	0.0035286377995
a24	0.911267202222	3.76983915667e-06	0.0612721519444	0.00509087916711	0.0210425275111	0.00132343806267
a20	0.635629740741	1.64057757556e-06	0.0971573939815	0.031280832389	0.22652201517	0.00940836906756
a31	0.597354106914	9.2875605852e-07	0.0690323479938	0.0392886331963	0.282225565423	0.0120984094225
a18	0.579673918971	0.0120898293405	0.0491438509979	0.0407697647988	0.276413082174	0.0419095062075
a31	0.49580764299	0.016119897041	0.058775798666	0.0408469463663	0.327375014058	0.0610746574025
a17	0.656009067663	0.0323241749412	0.086482476222	0.0166649009554	0.173971851353	0.0345474968008
a20	0.650068255888	0.0405949576471	0.112711897407	0.00929173861847	0.135190660451	0.0521424712669
a31	0.506660475296	0.0164043590079	0.0896192488023	0.00481680788616	0.257391583484	0.125107517089
</S>	0.409986322648	0.0082064181922	0.0606191159012	0.00276574211308	0.347986761742	0.170435638545
