 	non	ha	da	mangiare	</S>
a31	0.0360793027	0.0057301532	0.0019502381525	0.95495453	0.00128582365
a20	0.0876271927	0.0831338905333	0.000651699894433	0.82807053	0.0005167063431
a31	0.1063043059	0.115654172844	0.000285467170078	0.777560496667	0.000195581564133
a41	0.2227445903	0.146219536948	0.000167208878693	0.630671565556	0.000197140494711
a10	0.285027813433	0.451885248983	6.14012975643e-05	0.262450352785	0.00057522648157
a31	0.124258453344	0.478730492994	4.21413585214e-05	0.396323401862	0.00064554042719
a15	0.0863616633147	0.462500814331	0.00107698969951	0.439163762854	0.0108967865757
a31	0.0760565264382	0.67865387811	0.00159631234317	0.229337633185	0.0143556638719
a39	0.106474814146	0.686194812703	0.0334426373577	0.159154049078	0.0147337036373
a37	0.140118404715	0.746925527568	0.0441149174726	0.0540580103093	0.0147831940238
</S>	0.111451782358	0.830602048784	0.0224351442663	0.0280902140546	0.0074208877289
