 	Anna	ora	sta	vicino	a	me	dormendo	</S>
a8	0.00086450068	0.410624515	0.01023022	0.53913103	0.0287151785	0.00929131105	0.0010058740885	0.000137350693
a31	0.00110657966	0.239206691667	0.0612182816667	0.63993807	0.0536647265	0.00363919087667	0.00100723642483	0.000219179477667
a8	0.00137359392	0.169508568556	0.110610967222	0.431067063333	0.0532479598333	0.00183738695222	0.231374348037	0.000980090435889
a31	0.00114610106333	0.0850900275187	0.123661352407	0.326193694444	0.135657235944	0.0187293821507	0.308280156269	0.00124205068863
a17	0.00271578287778	0.262239632506	0.192867490802	0.247307464815	0.166191614315	0.0239074253742	0.10423669968	0.000533945102877
a18	0.00467646175926	0.343317194169	0.315031436934	0.123209504938	0.072346019105	0.00861383278207	0.132531423893	0.000274227170959
a31	0.00312969845975	0.274434538056	0.256857827078	0.185779878313	0.045872054035	0.0931364982607	0.140606136316	0.00018344917732
a17	0.00813770422658	0.238384404685	0.330326173793	0.173582035771	0.0607223136783	0.120834417304	0.0679367524571	7.62336041067e-05
a30	0.0172263580755	0.145066221895	0.598248907931	0.0658488895903	0.0740976778928	0.0405160201647	0.0589523961524	4.35344367022e-05
a17	0.0153682366918	0.254368558965	0.560879062644	0.0499188525301	0.0576208336309	0.0137207052582	0.0478910333841	0.000232726236234
a39	0.00850123299727	0.449750576322	0.410520814215	0.05449068551	0.040218047877	0.00472683673773	0.0314824178614	0.000309397888745
a17	0.00623120793242	0.524433248774	0.357288861405	0.0475969625033	0.0390711536257	0.00166038965758	0.0234445600205	0.000273608402915
a31	0.00450158517747	0.599231516258	0.253371335135	0.0485712231678	0.0730818898752	0.00258648733586	0.0183742035535	0.000281724050972
a17	0.0144276697592	0.642462838753	0.172160583045	0.0471984937226	0.107062363292	0.00322508384529	0.0123521980645	0.00111075811699
a20	0.0189162007531	0.687551299584	0.172874964348	0.0313952020742	0.075475454764	0.00147713629343	0.0108771861882	0.00143258670566
a27	0.0154958234177	0.651156996528	0.261260318116	0.0118090775581	0.0362307319213	0.000513500538477	0.0228727542294	0.00066082727522
a20	0.0183059628059	0.630332575509	0.279181639372	0.0051692925527	0.0352538906404	0.000263159735159	0.0305102077431	0.000983291765073
a31	0.0118340300353	0.79625222517	0.145066336457	0.00254186311423	0.0276795046801	0.00016969036072	0.015248131181	0.00120825306836
a18	0.0528848711118	0.689661231723	0.157191708819	0.00707374730141	0.07822578936	0.00039616800924	0.0115603019937	0.00300621243612
a31	0.0669901368039	0.657317867241	0.15920016294	0.00856066357247	0.0943737995067	0.000466244981247	0.00964350853123	0.00344759277204
a13	0.074454965368	0.68661622908	0.179491514313	0.00384242006282	0.0489585728889	0.000208876568582	0.00457291831041	0.00185447005068
a20	0.095033060456	0.64980111636	0.205945659771	0.00228028124094	0.0343028200963	0.000145115036194	0.0095467700368	0.00294517328356
a31	0.0511835891187	0.80426212212	0.11737413159	0.000833508463647	0.0124955579321	7.2973684398e-05	0.0109439413456	0.00283416626119
a28	0.0711251000062	0.70360051404	0.179653083863	0.000440656337882	0.0152805794107	0.000251991017133	0.0242149967819	0.00543305148706
a31	0.0858981943354	0.662474211347	0.201020502621	0.000312144839294	0.0158731660369	0.000310443524378	0.0278635687606	0.00624773775569
a8	0.106462725778	0.621677210449	0.18862543554	0.0017872518531	0.0137590232456	0.00197288899346	0.0244041374202	0.0413113035119
a17	0.117070133259	0.540011226816	0.20551556718	0.00235035459437	0.0143123350819	0.00282122077782	0.0245384718067	0.0933806778373
a8	0.0774407070863	0.646454722272	0.154663494393	0.00123070317479	0.00981472936063	0.00172186720594	0.0132965176022	0.0953772676124
a23	0.0646758146954	0.706562370757	0.134164469464	0.00093341642493	0.00845376578688	0.00140701230198	0.00938933753407	0.0744138142041
a8	0.0563703525651	0.739057106919	0.118989234488	0.00057998749831	0.00602454359563	0.00118791443399	0.00783383484469	0.069957018068
a20	0.138821124188	0.627927402306	0.133094198163	0.000317078289437	0.00586552853188	0.000969466357997	0.0233025152816	0.0697026946893
a31	0.172150778063	0.641225087435	0.110669830054	0.000259454776479	0.00449613762063	0.000531489002666	0.0267145428939	0.0439526948631
a39	0.194346396021	0.566397915812	0.152137500685	0.000520973128826	0.0383494589835	0.000899207837555	0.0266025807646	0.0207459845877
a18	0.221783452007	0.457499321937	0.211640216895	0.000561210559609	0.0525053596612	0.00110884106252	0.0345366972549	0.0203649211959
a37	0.235659937336	0.467755307312	0.203719648965	0.00041654957987	0.0345707898871	0.000636857104173	0.0389822404183	0.018258680732
a31	0.212827382445	0.559378819104	0.160089466322	0.00034946267329	0.025762705029	0.000386547774724	0.0314228043728	0.00978278487733
a8	0.162500054148	0.601087426368	0.165774105441	0.00201899330443	0.022941200743	0.00113168823157	0.0271996096909	0.0173468882591
a23	0.145370018049	0.547097195456	0.22190185848	0.00272495040148	0.0239018942477	0.00163657064386	0.025494838897	0.031872673753
a37	0.14506281935	0.597319098485	0.198634819493	0.00115845214049	0.0115605860826	0.000846548591287	0.0100791529657	0.0353385245843
a8	0.144928214783	0.640250566162	0.169487589831	0.000515199780163	0.0067730626942	0.000445985723762	0.00558346988857	0.0320159121948
</S>	0.102360064891	0.699153533081	0.160268594915	0.000366537930081	0.0057512853471	0.000403795036881	0.00410945929429	0.0275867470974
