 	hai	già	mangiato	</S>
a31	0.001731367039	0.82210673	0.162076732	0.0140851595
a37	0.00149237617233	0.769553163333	0.219426490667	0.00952794346667
a31	0.00148424622411	0.547656084444	0.445032336889	0.00582727745556
a46	0.00112437370804	0.213211901815	0.490016638963	0.295647066819
a31	0.000946961307347	0.128819070938	0.473365606321	0.396868362273
a39	0.00180698310712	0.298012150313	0.519864208774	0.180316687424
a20	0.00243046360237	0.397311133438	0.493948309591	0.106310142141
a31	0.00124725923412	0.360414817813	0.59758073653	0.0407572141137
a46	0.0305727700114	0.403618762604	0.522924728843	0.0428837501046
a31	0.0442004983371	0.580246454201	0.329811596281	0.0457414731682
a18	0.0907721744457	0.742635298067	0.14817203876	0.0184205211894
a24	0.384668428149	0.531718662689	0.0767365462533	0.0068763829698
a46	0.529638542716	0.406202070896	0.0604268940844	0.00373251712993
</S>	0.443488051358	0.494302835448	0.0582396700422	0.00396948691496
