 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
a31	0.123493933	0.0830483585	0.088395031	0.275699795	0.082247626	8.3782480497e-08	1.9459273525e-10	0.02277209053	0.000512930625	0.3232236571	0.00060648221885
a23	0.0832357659	0.0459869801667	0.0952593346667	0.438962465	0.209493895333	0.000319054963914	4.60230751679e-07	0.00800001563	0.001118341245	0.117045964433	0.00057771741885
a31	0.0281710081267	0.0198771851889	0.0556807938889	0.610521235	0.229691915111	0.000425673187491	6.13766698726e-07	0.00535908107667	0.00158583414833	0.0481187747177	0.000567849517817
a23	0.0095200810689	0.0087399981963	0.0365623826296	0.642797015	0.280093005037	0.000178461372017	4.37162034409e-07	0.00425448521556	0.00107717862944	0.0165494518126	0.000227424400806
a10	0.00367938358963	0.0055578201321	0.0224900870099	0.422006868333	0.537966218346	9.5922631859e-05	3.80617058136e-07	0.00146823284029	0.000621428184813	0.00600029772063	0.000113311956599
a31	0.00232445466321	0.0030390061107	0.0141531348033	0.282209832778	0.694880272782	3.21340016086e-05	1.29387763549e-07	0.00108641639186	0.000216049722271	0.00202080739331	3.78009130217e-05
a37	0.0015751506744	0.00228787927023	0.0138005646011	0.204859757593	0.775669967594	2.40467203384e-05	2.1426198202e-07	0.000966586694287	0.00011007973309	0.000693169911813	1.26339258702e-05
a27	0.0022465463448	0.00579531299008	0.0313081982004	0.210173655864	0.749262299198	0.000115499166779	6.93109670673e-07	0.000538438161762	0.00032280857103	0.000232276025114	4.25002085307e-06
a31	0.0042470747816	0.00860704633003	0.0540061894001	0.357953891955	0.570430539733	0.000134090246826	6.90574022224e-07	0.00363406885392	0.000647731990343	0.000335139365505	3.52908907569e-06
a44	0.0125945632605	0.0775994884433	0.0846518398	0.357634117318	0.374729263244	0.0138260556402	0.021575919171	0.00959285245131	0.0428679450968	0.0039214141685	0.00100655573329
a23	0.0336053610868	0.269373502814	0.129521763267	0.216176432439	0.186624039748	0.0251480818801	0.0365827103903	0.0103116573171	0.0596478608656	0.0258135690562	0.00719504134443
a37	0.108187413696	0.409475420938	0.147288361089	0.132377174146	0.0691342434827	0.01537137476	0.0213553166301	0.00623896827237	0.0232010142552	0.0569853663521	0.0103853699481
a38	0.139065797899	0.465307006979	0.154714430363	0.114999528049	0.0377091710609	0.00789002972	0.0106662384767	0.00526174735746	0.0113656912184	0.047275888784	0.00574443501603
a46	0.100996745966	0.383733088993	0.135878186788	0.141192042683	0.033503999687	0.01380140824	0.0175526052589	0.0164639702192	0.0243854197395	0.121580432928	0.010912046872
a31	0.098838010322	0.270179032998	0.159789802263	0.174966074228	0.0364626065623	0.013240629254	0.0176488016346	0.0384137697397	0.0267393237465	0.150321110143	0.0134008096907
a28	0.090214966774	0.324492604333	0.196891280754	0.184006611409	0.0861823378541	0.00472621455867	0.00632287682653	0.0351730849132	0.0114328987488	0.0551109230477	0.0054461660469
a31	0.0884648839247	0.276562501444	0.168231396918	0.26013019047	0.162238019285	0.00188711228639	0.00254512042462	0.0141734882711	0.00516922876293	0.0187167278826	0.0018812721223
a14	0.0921040413082	0.255736077148	0.168599698973	0.290966610157	0.173500319762	0.00116404549563	0.00179372802398	0.00607497819037	0.00274563133431	0.0066010441942	0.000713794620767
a31	0.211919543769	0.310261135716	0.181413259658	0.178579156719	0.107832625921	0.00092357780521	0.00154349549046	0.00277740365346	0.00187843870477	0.0025313032514	0.000340067027922
a20	0.277323371256	0.307837078572	0.183466969886	0.123774068906	0.0538812156403	0.0062005153084	0.0302940431793	0.00331178234115	0.00709825226159	0.00474183573713	0.00207085394031
a31	0.304203667085	0.352391592857	0.159678936629	0.0859248016687	0.0294948355801	0.00796528137147	0.0398786022603	0.00344375506938	0.00881908524053	0.00551228416238	0.00268714647344
a20	0.301933309028	0.398896887619	0.155648778876	0.0478975592562	0.0134330502267	0.0108907013925	0.0553798486207	0.00181353477879	0.00566292456684	0.00475223380413	0.00369118365115
a31	0.304488059676	0.42230472254	0.143689639625	0.0344317977521	0.00787013542557	0.0118916087522	0.0605503289641	0.00127133165393	0.00464961273228	0.00474674486804	0.00410604870038
a20	0.285156440892	0.434811367513	0.124597266542	0.0173371309174	0.00430351789186	0.0210997838721	0.0946335124119	0.000863498678977	0.00490922345409	0.00420025572268	0.00808802605013
a10	0.150190714631	0.509334699171	0.113672055514	0.0114530465391	0.00307800173729	0.0685218819574	0.124077638804	0.000731302102992	0.00595162851803	0.00361973899956	0.00936928612671
a31	0.206677831544	0.553513043057	0.0966642251713	0.00591526861303	0.0019626388191	0.0674122517191	0.059458690308	0.000284607118997	0.00342113847268	0.00138568671852	0.00330462394224
a37	0.196646599181	0.538632381019	0.106587185057	0.00613923830434	0.0043938411397	0.0504601196397	0.082331629476	0.000402656980999	0.00658965575756	0.00111048606617	0.00670623977075
a38	0.086883456727	0.510237213673	0.105268658352	0.00641211566811	0.00523503594657	0.112028991213	0.153775383159	0.000744817327	0.00893777791919	0.00092881965539	0.00954773285692
</S>	0.0643268308635	0.475964036837	0.104028089176	0.00618574983405	0.00389471232329	0.157116830607	0.172634356579	0.0008629803635	0.00695134295959	0.000567903477695	0.00746712932846
