 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.39491626	1.33633535e-07	2.298291e-06	0.2017362315	0.2948547025	4.77428375e-05	8.6439718e-05	3.46807e-07	0.000296510625	0.106975217	0.00108411863
a31	0.358337503333	2.12035485e-07	2.11620636667e-05	0.2190210305	0.3808586575	0.000200071844167	3.70108226667e-05	2.44178778333e-07	0.00124029440167	0.0396937023333	0.00059009682
a20	0.641002044444	7.19673095e-07	3.03876245556e-05	0.1079163445	0.2340430705	0.000244500538856	2.04210628889e-05	1.22852629111e-07	0.00145752104139	0.0150585635644	0.000226282102667
a13	0.780202334815	1.11852673167e-06	1.48717629519e-05	0.0593270911667	0.154334554833	8.35826690853e-05	1.28379146296e-05	2.00341457704e-07	0.000486997795863	0.00546009614147	7.63686163223e-05
a37	0.599635344938	7.86872227223e-07	6.43124258397e-06	0.0493351813889	0.348743871611	2.81340020918e-05	8.5799546432e-06	9.63281042568e-07	0.000162964195254	0.00205160079716	2.62159820874e-05
a31	0.298854521646	3.12469467241e-07	2.86903577066e-06	0.0330162322296	0.666580737204	1.03162585939e-05	4.9046916944e-06	1.09611815419e-06	6.0204103818e-05	0.00145696418239	1.18863845758e-05
a43	0.118928499215	0.000373597500231	0.0191288532047	0.0382578801765	0.688818552401	0.011322301687	0.00936418163061	0.108198195209	0.00424858858461	0.00128717707413	7.21961215253e-05
a31	0.169016831738	0.000498031411997	0.0255046182324	0.0466689560588	0.566991244134	0.0151028931073	0.0125108632835	0.144322775906	0.00658273329487	0.0125629197047	0.000238137483842
a24	0.284192837246	0.000168498943452	0.00925161807493	0.0763578380196	0.548648004711	0.00579423498077	0.00493570730117	0.0501327649053	0.00396183173162	0.0163181641082	0.000238518481947
a7	0.261074099082	5.96596286173e-05	0.00424434362498	0.113641616007	0.575809224904	0.00398386252692	0.00437791006706	0.0253504140684	0.00567555044387	0.00563870915273	0.000144646631316
a31	0.166480889694	2.09007934156e-05	0.00182605770903	0.0835140700023	0.692914341635	0.00267548419231	0.00363503745569	0.0154476743895	0.00852153614796	0.0243740609609	0.000589982467105
a13	0.154447939898	0.000124549818415	0.0151104489704	0.0604307046674	0.652446513878	0.00967550528077	0.00463521741856	0.0490677774965	0.0224077373827	0.0306662434103	0.000987385989035
a28	0.370038009966	0.000161673152472	0.0208500887568	0.0626036448891	0.410249647959	0.0124968587269	0.00608303970619	0.0778487698322	0.0281213839609	0.0106945630801	0.000852311163012
a20	0.413556613322	0.00402959624049	0.0269044770189	0.049262479963	0.193817282653	0.0301018305423	0.0127369231354	0.207628680611	0.0525302661536	0.00650639571337	0.002925442621
a31	0.413872564441	0.00531635348786	0.0276161886776	0.044879548321	0.123486810884	0.0355452196808	0.0141791255118	0.237067201204	0.0660078147179	0.0267726264045	0.00525658317367
a37	0.620915754814	0.00215433547032	0.0307439792305	0.0429673074403	0.103932479628	0.0130527773936	0.0055594838706	0.102086906401	0.0406015242393	0.0323702868682	0.00561518475789
a1	0.498125786938	0.0153291313901	0.0650316630768	0.0394470291468	0.052011014876	0.0132189544645	0.0051724191902	0.2441075338	0.0303690014131	0.0187841683561	0.0184032831193
a28	0.493356430979	0.0195312811967	0.0686572976923	0.0370253930489	0.021329194792	0.0122313619715	0.0047367906304	0.273251950167	0.0189469746377	0.0279444351187	0.0229888700398
a1	0.531023156993	0.0230824071322	0.0666903725641	0.060979915683	0.0126430074307	0.00955373347383	0.0036205854438	0.177998382289	0.0153917073792	0.0531426173729	0.0458741103466
a28	0.482138448998	0.0246035960774	0.0739957108547	0.0733699302277	0.00961579981023	0.00886788364461	0.00326906875327	0.15289437743	0.0198464944597	0.069876225791	0.0815224714489
a31	0.630451042999	0.00873170076473	0.0463829267116	0.0503565144092	0.00561027610341	0.00326999720154	0.00133921465642	0.0981751591433	0.0165022018199	0.0648510002637	0.074329960483
a20	0.582362301	0.0199591812938	0.118598131997	0.0419249874697	0.00524595153447	0.00478958756718	0.000916690918807	0.105661498048	0.0207782992733	0.0458330160879	0.0539303494943
a31	0.607327820333	0.0237016894195	0.142658250395	0.0337628474899	0.00467073207816	0.00525649213006	0.000631904546269	0.0847758176827	0.0202492562244	0.0358130490293	0.0411521391648
a20	0.597875056778	0.027337982128	0.178146996527	0.0287905631633	0.00396584075939	0.00336026488435	0.000390134145423	0.0681176225609	0.0160571068748	0.0332936576764	0.0426647797216
a31	0.585017838926	0.0285502722052	0.189984718651	0.0272580407211	0.00374698868646	0.00272879716145	0.000317032738474	0.0641631328536	0.0146986593916	0.0366121545588	0.0469223689072
a8	0.514325736309	0.0661077188976	0.215790262692	0.029263267907	0.00433628566215	0.00242516788715	0.000323482669491	0.0562011682845	0.0101261332305	0.0400318008529	0.0610689799691
</S>	0.330867833155	0.117939574449	0.336552496346	0.0296420644535	0.00606292058108	0.00346458874357	0.000359202369746	0.0533376321422	0.0110000366152	0.0339737494264	0.0767999019846
