 	l	ha	scritta	</S>
a20	0.000799688102	0.50778438	0.467811725	0.023604176
a31	0.000304254325333	0.200285389767	0.780881475	0.018528862
a35	0.000290525578444	0.113604039689	0.875764325	0.0103410995333
a31	0.000355013859481	0.089498358563	0.898103821667	0.0120427890444
a35	0.000656303439827	0.0478281581877	0.911567553889	0.0399479600148
a31	0.000680104343276	0.0335003157292	0.92322498463	0.0425945626716
a41	0.00270631431109	0.0529137402431	0.884400361543	0.0599795635572
a31	0.0033755246077	0.0663376264144	0.864783520514	0.0655033119857
a11	0.103725396807	0.195419666471	0.661063306838	0.0397915947952
a18	0.221687455602	0.405152148824	0.320851208946	0.0523091582651
a13	0.208858225201	0.538815966275	0.213367869649	0.0389579257217
</S>	0.180097022601	0.607407358137	0.192646324825	0.0198492773109
