 	forse	sono	usciti	</S>
a23	0.5087966	0.0506255645	0.384575145	0.0560026355
a31	0.542079866667	0.0378214068333	0.378770595	0.0413280725
a23	0.588822222222	0.0273841679444	0.358324131667	0.0254694385
a31	0.643316840741	0.0246680816481	0.310441933889	0.0215731191667
a10	0.70999286358	0.0231562238827	0.24664303463	0.0202078817222
a37	0.759191471193	0.0224994119609	0.196628544877	0.0216805652407
a31	0.786787690398	0.0291566246536	0.153626131626	0.0304295270802
a37	0.734920413466	0.0491048415512	0.158536233875	0.0574385033601
a31	0.608693174489	0.0908177371837	0.194036907958	0.10645217112
a39	0.471826788163	0.141430112395	0.221381882653	0.165361193707
a31	0.373532819388	0.184216330798	0.234983560884	0.207267284569
</S>	0.341476329694	0.204223845399	0.235584995442	0.218714847285
