 	che	sapeva	che	non	può	fare	il	bagno	</S>
a31	0.136918275	0.16577204	0.14931237	0.154116915	0.066893573	0.103679727	0.149932715	0.048403913	0.024970527
a20	0.150232621667	0.16666969	0.157094153333	0.154955098333	0.065523271	0.102681025667	0.147822431667	0.0400898863333	0.0149318495333
a28	0.159269170556	0.180369986667	0.166577607778	0.160672419444	0.0641230536667	0.0821486505557	0.148600663889	0.0297241351111	0.00851431404443
a31	0.156101250185	0.189098675556	0.179363475926	0.171664096481	0.0666053112222	0.0564281735186	0.152977791296	0.021462827037	0.00629841288148
a39	0.149473570062	0.186810911852	0.194354611975	0.185826748827	0.0663348404074	0.0388713751729	0.155461463765	0.0169210983457	0.00594535382716
a24	0.143104336687	0.184522480617	0.213446387325	0.202642599609	0.0580725134691	0.027929398391	0.151785757922	0.0128503747819	0.00564611950905
a31	0.119411862229	0.189899030206	0.242157869108	0.22343854987	0.0465764154897	0.0219884421303	0.135620782641	0.0131596109273	0.00774745373635
a17	0.0937678074097	0.189229143402	0.264125633036	0.242170806623	0.0423472751632	0.0216596947101	0.117321987547	0.0173686129758	0.0120090489121
a31	0.0775843514699	0.179319327801	0.268273221012	0.248260438874	0.0458491620544	0.02739655357	0.102621725849	0.0289851883253	0.021710023304
a39	0.06931177749	0.173086705934	0.248709960337	0.234629792958	0.0567203586848	0.03758359119	0.0938742019497	0.0485999484418	0.0374836351013
a41	0.0694013404967	0.167429375311	0.203513246779	0.196824684319	0.0723376915616	0.05719344373	0.0951324773166	0.0768633544806	0.0613043557004
a31	0.0726863401656	0.152980995104	0.160159228926	0.15652377144	0.0889985325205	0.0794621712433	0.0997754124389	0.105119066494	0.0842944885668
a33	0.0779566800552	0.139347655035	0.138507119642	0.13533697048	0.0991258575068	0.0924213570811	0.10364176748	0.117177995498	0.0964846195223
a31	0.0847116400184	0.130270708345	0.126438735214	0.122199523493	0.102616812502	0.102154385694	0.106197102493	0.119514986833	0.105896116507
</S>	0.0900330900092	0.124580014173	0.118805340607	0.115384866747	0.105273276251	0.107231072847	0.108180581246	0.120090100917	0.110421668253
