 	mi	sono	vestito	</S>
a39	0.55462144	0.06188819175	0.30135053	0.08213982
a11	0.644417873333	0.0284817754167	0.280275376667	0.04682497
a13	0.711611584444	0.0176301274722	0.235828712222	0.0349295986667
a18	0.761543794815	0.0150303208241	0.190217604074	0.0332082848889
a31	0.808238784938	0.022276426608	0.129478170025	0.040006632963
a37	0.834833384979	0.0301301712027	0.088090098675	0.0469464049877
a15	0.80353465166	0.0469617660676	0.0870704595583	0.0624331689959
a31	0.624731970553	0.113710895356	0.137340053186	0.124217097665
a46	0.424405276851	0.184998515119	0.198216351062	0.192379849222
a31	0.325119082284	0.220460128373	0.228670043687	0.225750723074
a20	0.273429494095	0.239901579458	0.243918181229	0.242750737691
a31	0.257012998032	0.246249023153	0.248646257076	0.248091725897
</S>	0.254185234016	0.247844826577	0.249125523538	0.248844422949
