 	i	bambini	non	si	vestono	da	soli	</S>
a31	0.06194254	0.0177885975	0.07956682	0.064418858	0.248186355	0.14827	0.258181655	0.1216451575
a0	0.0694609913333	0.00947442103333	0.0856728466667	0.0630109213333	0.255973131667	0.145245766667	0.271184658333	0.0999772575
a31	0.0710607191111	0.00679526031111	0.0833301108889	0.0550536617778	0.240798830556	0.112504654222	0.351551392778	0.0789053668333
a17	0.0620065733704	0.00613424143704	0.070569328963	0.0350966275926	0.249375620185	0.0634527617407	0.458945710926	0.0544191412778
a20	0.0467608467901	0.00546724027901	0.054961426321	0.0231577615309	0.276618273395	0.0443688369136	0.500455890309	0.0482097267593
a31	0.03866131893	0.007556701993	0.0470785654403	0.0206206018436	0.266221921132	0.0381855369712	0.538324050103	0.0433512805864
a37	0.0389483829767	0.0118773219977	0.0464566501468	0.0233027006145	0.238712420377	0.0349507049904	0.565212516701	0.0405392968621
a15	0.0338490903256	0.0129280823326	0.0427678900489	0.0225960355382	0.242366930126	0.0349945903301	0.5648958889	0.0456014922874
a46	0.0272314854419	0.0146451104442	0.043727883683	0.0247651451794	0.256680493375	0.04361754011	0.529315679633	0.0600166657625
a24	0.0261666094806	0.0164850444814	0.0442545182277	0.0265251923931	0.270743291125	0.0513122780367	0.494848626544	0.0696644449208
a31	0.0297224051602	0.0270121754938	0.0501565830759	0.0364641314644	0.248026720375	0.0588276083456	0.473371642181	0.0764187363069
a18	0.0386876727201	0.0415441924979	0.0626725130253	0.0515570458215	0.201253966792	0.0705596644485	0.445464057394	0.088260918769
a11	0.04010179424	0.0447331828326	0.0629662190084	0.0540266796072	0.193654768931	0.0758695448162	0.423100462465	0.105547352923
a35	0.0336008957467	0.0414375686109	0.0579689326695	0.0500941755357	0.225837932977	0.0748205482721	0.400049670822	0.116190257641
a31	0.0409553885822	0.054111000537	0.0678208725565	0.0613751418452	0.213093947659	0.081122459424	0.364865380274	0.116655801214
a13	0.0500504685274	0.069979160179	0.0815157188522	0.0775187506151	0.16863374922	0.0908820131413	0.339254246758	0.122165885738
a11	0.0498063661758	0.0698268567263	0.0799576876174	0.077014898205	0.165555163073	0.0930016743804	0.327715578919	0.137121778579
a31	0.0656750087253	0.0817944789088	0.0875959492058	0.0858624374017	0.153597757691	0.0985274147935	0.28732645964	0.139620491526
a46	0.0803924895751	0.0980215463029	0.101936541402	0.100953363801	0.135361215897	0.106948338264	0.24808052988	0.128305982509
a31	0.089853856525	0.108629245434	0.111682648801	0.1111277046	0.130136085299	0.114610396088	0.207834316627	0.126125777503
a24	0.0963108808417	0.117364905145	0.120100122934	0.119911816867	0.1283481351	0.122477225363	0.168285928876	0.127201022501
a35	0.0968754922806	0.116252808382	0.118662294311	0.118611682289	0.125220948367	0.121205290454	0.174561259625	0.128610250834
a31	0.10622336076	0.115494506127	0.11656107477	0.116509915763	0.122144659456	0.118124767485	0.178006193208	0.126935546945
a46	0.11246115692	0.119255322042	0.11991204659	0.119874261588	0.123016009819	0.120732774495	0.159570454403	0.125177988982
a31	0.11553914564	0.121680288681	0.122201663863	0.122174575196	0.12411035994	0.122733491498	0.146509354801	0.125051129661
</S>	0.11805822282	0.123009081341	0.123409856932	0.123389052598	0.12465522997	0.123777600749	0.1385690974	0.12513188483
