 	Marika	non	ha	mangiato	mai	un	rustico	</S>
a8	0.17108954	0.145582635	0.087695313	0.1030089	0.0266772345	0.129830235	0.26872909	0.067387025
a31	0.214743286667	0.170165888333	0.101064904333	0.11815244	0.0167711181667	0.112072385	0.232245863333	0.0347841016667
a20	0.246261568889	0.174895672778	0.0966581047777	0.10829412	0.0142608937222	0.111214371667	0.223944224444	0.0244710558889
a31	0.257033622963	0.192792754259	0.106098021593	0.114519956667	0.0134083912407	0.0990434962223	0.197397438148	0.0197063202963
a37	0.255299784321	0.208017324753	0.124007567198	0.133197602222	0.0113503324136	0.0721803877408	0.182408132716	0.0135388774321
a14	0.25318077144	0.215822118251	0.139175902399	0.152013907407	0.00937620063787	0.0566192012469	0.162431764239	0.0113801538107
a10	0.265606123813	0.223419289417	0.1460505708	0.162516639136	0.00755886071262	0.045193329749	0.139132419746	0.0105227946036
a31	0.300364434604	0.229889516472	0.141428276933	0.156117569712	0.00761226890421	0.0354737229163	0.117469628249	0.0116446075345
a37	0.341056484868	0.228633698824	0.130472778978	0.139274023237	0.00996825263474	0.0311617116388	0.10562038275	0.0138126688448
a10	0.352994028289	0.210730006275	0.114623792993	0.120334707746	0.0119334138782	0.0318754855463	0.137927147583	0.0195814189483
a14	0.33887753943	0.187155588758	0.0982119009977	0.103916207249	0.0124851449594	0.0325859991821	0.197704962528	0.0290626666494
a0	0.30988666981	0.165924406253	0.0905717249992	0.0955006904163	0.0145881673198	0.037719061394	0.246227190843	0.0395821025498
a20	0.26831650327	0.138139873751	0.0865045996664	0.0899718001388	0.0221699941066	0.0502650964647	0.287945423614	0.0566866901833
a33	0.205476007757	0.11187917625	0.0851789065555	0.0889468687129	0.0508068640355	0.0860178938216	0.281814374538	0.0898798833944
a20	0.142939061252	0.0948899420833	0.0842810571852	0.088306279571	0.0796344280118	0.117185194607	0.261856851513	0.130907174465
a31	0.115547075751	0.0920959620278	0.0882816007284	0.0914734311903	0.102091882671	0.128160411536	0.234650117171	0.147699504822
a0	0.106386623917	0.0918376836759	0.0901346302428	0.0935487403968	0.11193446089	0.135327777179	0.218227455724	0.152602621607
a41	0.0989585319723	0.0852138495586	0.0831714867476	0.0870886134656	0.110248701963	0.137571085726	0.241183368575	0.156564377202
a31	0.100212102657	0.0909023678529	0.0902574422492	0.0934292411552	0.121851208988	0.139158178575	0.215473306192	0.148716169067
a37	0.0993833375523	0.0933326072843	0.0934555060831	0.0959971320517	0.125335212996	0.143225689525	0.195981452064	0.153289089689
a31	0.100206100517	0.0955744757614	0.0959122406944	0.0981270470172	0.125996550999	0.143668929842	0.186711410688	0.153803289896
a18	0.100256954839	0.0965560035871	0.0970655835648	0.0991100353391	0.127939753666	0.144809486614	0.180289713563	0.153972499965
a8	0.0996437149463	0.091421809529	0.0905937228549	0.094101670113	0.125544092889	0.145793885538	0.199034287854	0.153866839988
a20	0.100421541649	0.0889745931763	0.0871715926183	0.0913078950377	0.122572415963	0.143443178513	0.215595722618	0.150513086663
</S>	0.0958472908245	0.0848995565881	0.0829860263092	0.0864456900188	0.120290032982	0.145206644256	0.228242851309	0.156081938331
