 	siete	cucinato	</S>
a20	0.746756525	0.1897099	0.063533589
a31	0.769361958333	0.178458845333	0.0521791903333
a18	0.878053086111	0.092752709111	0.0291942167778
a21	0.921106628704	0.0591176617037	0.0197757492593
a37	0.939587829568	0.0437174379012	0.0166947514198
a21	0.931836596523	0.0458260219671	0.0223373761399
a31	0.848892718841	0.084928205989	0.0661790787133
a18	0.732288372947	0.140450078663	0.127261562904
a31	0.600679070982	0.203574739554	0.195746200968
</S>	0.512006485491	0.246330719777	0.241662800484
