 	se	vieni	a	casa	ogni	sabato	</S>
a23	0.126173015	0.11825308	0.12292698	0.101358185	0.157418585	0.30132546	0.0725446885
a31	0.162873161667	0.142904866667	0.143645723333	0.104054145	0.153765721667	0.2468685	0.0458878935
a11	0.184182333889	0.151257298889	0.150216644444	0.08658427	0.151232007222	0.243689706667	0.0328377521667
a21	0.18287174463	0.15628271963	0.157021011481	0.081929015	0.157480935741	0.236464415556	0.0279501570556
a31	0.182512851543	0.162889479877	0.16526730716	0.0636944016667	0.138914975247	0.268341495185	0.0183794826852
a20	0.199055320514	0.178287339959	0.177438352387	0.0414013388889	0.102629768416	0.288953815062	0.0122340485617
a31	0.219690390171	0.202946989986	0.192718887462	0.0314695296296	0.078342117472	0.262953728354	0.0118782981872
a10	0.232538800057	0.224726476662	0.202272492487	0.0321835775432	0.0686673424907	0.224203626118	0.0154076263957
a31	0.226591750019	0.226309695554	0.204393874162	0.0391765165144	0.0712080494969	0.206782288706	0.0255377681319
a21	0.19970801334	0.212746791851	0.209350054721	0.0479844088381	0.082303216499	0.206684822902	0.0412226323773
a11	0.161155799447	0.183953300617	0.19889092824	0.0572426216127	0.0980396354997	0.232268500967	0.0684491954591
a3	0.127543889482	0.146170428872	0.166261259413	0.0684310338709	0.115478175167	0.270989970322	0.105125245153
a33	0.114528471161	0.124526368291	0.140638749804	0.0944083312903	0.134850011722	0.261941576774	0.129106495051
</S>	0.114954850581	0.121559199146	0.134839709902	0.113420605645	0.143497965861	0.236153333387	0.135574342525
