 	non	aveva	dove	a	stare	</S>
a31	0.20115871	0.198148155	0.08432635	0.168831805	0.288143835	0.059391156
a8	0.262138803333	0.239193955	0.06878743	0.136231031667	0.253814898333	0.0398338816667
a31	0.297328617778	0.249854205	0.0427075253333	0.0988037272223	0.286745216111	0.0245606772222
a28	0.301693005926	0.243173051667	0.0301121971111	0.0751860907408	0.332713038704	0.0171225644074
a37	0.319686335309	0.244831130556	0.0219359173704	0.0672924685803	0.330668902901	0.0155852248025
a31	0.303727275103	0.224146460185	0.0214818547901	0.0653000555268	0.363259307634	0.0220850482675
a18	0.246406155034	0.182760433395	0.02844848893	0.0676303545089	0.442226552545	0.0325279820892
a0	0.177205225011	0.134071367798	0.0302102879767	0.071975541503	0.546283317515	0.0402542440297
a23	0.120970025004	0.0924582325993	0.0268212399922	0.077616555501	0.637287252505	0.0448467013432
a8	0.0951651283347	0.0751297641998	0.0263782363307	0.0866367868337	0.667864664168	0.0488254317811
a31	0.0790014394449	0.0660440447333	0.0397345594436	0.0962636022779	0.652637698056	0.0663186652604
a20	0.068563259815	0.0602564492444	0.0520465418145	0.100913704093	0.633606242685	0.0846137750868
a31	0.072592856605	0.0670486374148	0.0695029259382	0.112144664698	0.575411927562	0.103298971696
a20	0.0851831622017	0.0825908591383	0.0978939103127	0.134330874899	0.470129355854	0.129871863899
a24	0.0984580374006	0.0968924297128	0.117633435104	0.149689951633	0.389580595285	0.1477455813
a8	0.1122685258	0.111216006571	0.128327225035	0.150653850544	0.349029428428	0.148504953767
a31	0.126722511933	0.126626078857	0.137006881678	0.149183683515	0.313976829476	0.146483984589
</S>	0.135637965966	0.135806004428	0.143640590839	0.152371751758	0.282746114738	0.149797552294
