 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
a20	0.155175865	0.23391217	0.0397394955	0.13991761	0.225867765	0.035689237	0.067850584	0.1018472575
a46	0.149850468333	0.254929536667	0.0223143601667	0.135034043333	0.275908358333	0.0255601896667	0.0569533173333	0.0794497275
a39	0.136096857444	0.257196268889	0.0153098980556	0.113472984444	0.329061546111	0.0220794275556	0.0518214507778	0.0749615625
a31	0.117988310481	0.252745646296	0.0158745153519	0.102892068148	0.358940882037	0.0238913348519	0.0568749665926	0.0707922558333
a20	0.116213176827	0.258315065432	0.0177151471173	0.090181332716	0.368088114012	0.025697378284	0.0617032201975	0.0620865416111
a31	0.113492575609	0.251369538477	0.0211944917058	0.0852325942387	0.367642258004	0.0307092820947	0.0675843667325	0.0627748632037
a15	0.105870133203	0.238347912826	0.0286664012353	0.0847945147462	0.355383676001	0.0406800160316	0.0779726955775	0.0682846357346
a11	0.104628039068	0.237853104275	0.0305081104118	0.0831253949154	0.349561895334	0.0433410740105	0.0807304385258	0.0702519452449
a31	0.092556496356	0.226875821425	0.0370306071373	0.0897767316385	0.334554711778	0.0516159113368	0.0909614645086	0.0766282617483
a46	0.085773095452	0.199817017142	0.0516573667124	0.101057525213	0.292327540593	0.0724222437789	0.10311559317	0.0938296272494
a31	0.084158498484	0.176285272381	0.0629086022375	0.107110713071	0.255998696864	0.090483324593	0.113014507723	0.110040419083
a46	0.0840557761613	0.158827404127	0.0721610207458	0.110578954357	0.225787088955	0.104513636864	0.120846255908	0.123229886361
a31	0.0843335507204	0.145195954709	0.0796202402486	0.112557051452	0.203027979652	0.115630040955	0.126321275303	0.13331392212
a15	0.0870580222401	0.14016536157	0.0830336884162	0.112129547151	0.192336883217	0.119866206985	0.127576875101	0.137833427373
a31	0.0872101607467	0.134768500523	0.0876556611387	0.11305989905	0.181818117739	0.124660215662	0.129589755034	0.141237692458
a20	0.0863421202489	0.130791326841	0.0900483523796	0.113350403017	0.17609399258	0.128087265221	0.131768028345	0.143518497486
a18	0.0864091567496	0.130361868947	0.0938545827932	0.114528031006	0.17216479086	0.128889688407	0.131465452782	0.142326392495
a46	0.0906581535832	0.131656136316	0.105771350931	0.120253620335	0.158063476953	0.127874272802	0.130803814261	0.134919154165
a31	0.0978363358611	0.131186002105	0.116008983644	0.124605180112	0.143600538984	0.127204594267	0.129036804754	0.130521568055
a15	0.092640085287	0.128127537368	0.117645227881	0.125833330037	0.140944922995	0.130590991422	0.131080988251	0.133136929352
a31	0.0920631900957	0.126163225789	0.11893296096	0.126172570012	0.138732914332	0.132037913807	0.131730746084	0.134166479784
a37	0.0925228800319	0.12532668193	0.120367768653	0.126528386671	0.136607348111	0.132500291269	0.131917235361	0.134229416595
a35	0.0973582550106	0.125070410643	0.120993182884	0.12611856889	0.13484374937	0.131544503756	0.130889728454	0.133181618865
a31	0.11066836967	0.125933493548	0.123363587628	0.12578465963	0.130041916457	0.127811531252	0.127708069485	0.128688379622
a46	0.113715919557	0.125836304516	0.124432472543	0.125946856543	0.128272372152	0.127139760417	0.127076379828	0.127579933207
a31	0.114981324852	0.125626301505	0.124888637514	0.125976268848	0.127469724051	0.126966743472	0.126852639943	0.127238371069
a11	0.115074958284	0.125548300502	0.125044492505	0.126001156283	0.12726799135	0.126994891157	0.126852636648	0.127215570356
a31	0.115869947761	0.125473246834	0.125084557502	0.125928198761	0.12703368045	0.126855183719	0.126710922216	0.127044260119
a46	0.11891727092	0.125333852278	0.125117839167	0.12564192292	0.126297833483	0.126223077906	0.126130744072	0.126337463373
a20	0.120199145307	0.125295294093	0.125107209722	0.125506524307	0.126025601161	0.125946419302	0.125875121357	0.126044704458
</S>	0.121365600154	0.125263227047	0.125069789861	0.125373657153	0.125808675581	0.125692719651	0.125643995678	0.125782377229
