 	io	non	so	cosa	è	da	scrivere	</S>
a48	0.14192364	0.234535335	0.170044475	0.20162508	0.0241569395	0.028230816	0.151860265	0.047623496
a31	0.16881621	0.255553838333	0.189660601667	0.237529416667	0.0166152821667	0.0209618043333	0.088491265	0.022371614
a14	0.189512526667	0.255103606111	0.197490703889	0.252495105556	0.0144679190556	0.0186976462778	0.0591823496667	0.0130501503333
a37	0.195371052222	0.25715091537	0.201180307963	0.261961468519	0.0124919923519	0.0160562365926	0.0460755702222	0.0097124431111
a10	0.194892110741	0.261258175123	0.202165432654	0.267159286173	0.011609321784	0.0143403208642	0.0396143890741	0.0089609407037
a31	0.204307130247	0.269941008374	0.202049794218	0.249592485391	0.0126553775947	0.0144646276214	0.035806922358	0.0111826314012
a28	0.212540966749	0.261967222791	0.193657571406	0.214485628464	0.0218527968649	0.0239629505405	0.0478794501193	0.0236533639671
a31	0.195755048916	0.230097237597	0.172574507135	0.182371829488	0.0389383946216	0.0422977291802	0.0841165500398	0.0538486496557
a42	0.162607212972	0.187215315866	0.148281879045	0.149378016496	0.0587356138739	0.0615830820601	0.13500567668	0.0971931732186
a23	0.139821794324	0.154053198622	0.130746927682	0.117721805499	0.0739957846246	0.07358214402	0.18264331556	0.12743502774
a8	0.132377201441	0.139095926207	0.123970807227	0.105016305166	0.0895815682082	0.0864411046733	0.192077021853	0.13144008258
</S>	0.12902458572	0.132647263104	0.123343388613	0.106962822583	0.100597104104	0.0969094273367	0.181820815927	0.12869461129
