 	non	mi	aspetti	non	vengo	</S>
a33	0.27601491	0.271647495	0.0983113925	0.20849126	0.11932714	0.026207835
a31	0.32566271	0.299538795	0.0903042391667	0.191948863333	0.0792863713333	0.0132590703333
a37	0.379096793333	0.334501368333	0.0745075780556	0.148378471111	0.0556901771111	0.0078256566111
a35	0.387498864444	0.340546562778	0.0734498843519	0.14749079037	0.044838349037	0.00617559357037
a31	0.409211438148	0.342105650926	0.0666309271173	0.140537122123	0.0345337583457	0.00698112305679
a7	0.444220362716	0.349231676975	0.0529390563724	0.113953747708	0.0307750057819	0.0088800996856
a18	0.481999120905	0.324199085658	0.0449482937908	0.0895512109027	0.041277892594	0.0180243428952
a24	0.490886563635	0.271121525219	0.0471313139303	0.0823114269676	0.0689517858647	0.0395973542984
a31	0.398119487878	0.22047752174	0.0744045673101	0.103240235656	0.125803645288	0.0779545114328
a20	0.271880435959	0.17752696058	0.101973019103	0.131369938552	0.193318848429	0.123930757144
a8	0.211889241986	0.16187469686	0.119682529701	0.146410856184	0.21046400281	0.149678625715
a31	0.187244637329	0.163513168953	0.142021306567	0.157120325395	0.19181929427	0.158281235238
</S>	0.177368303665	0.163878264477	0.151307198283	0.161026222697	0.184462507135	0.161957487619
