 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
a31	0.0746042115	0.120891585	0.12269381	0.12141158	0.1177302825	0.133897845	0.16176907	0.0850184975	0.061983095
a24	0.0792367671667	0.123847935	0.13792627	0.139316406667	0.132588880833	0.137722988333	0.138920766667	0.0702282788333	0.040211681
a18	0.0808037690556	0.128895308333	0.143559173333	0.144140655556	0.140797170278	0.142323652778	0.132223222222	0.0586376876111	0.0286193503333
a31	0.0784531063519	0.121481066111	0.148005107778	0.151164778519	0.149327210093	0.149595840926	0.136644514074	0.0453175388704	0.0200108454444
a37	0.0699804554506	0.113987622037	0.155243172593	0.159900649506	0.158239103364	0.157996830309	0.139715901358	0.0320979752901	0.0128383241481
a21	0.0689287438169	0.119080750679	0.157411864198	0.159583683169	0.157071584455	0.156645983436	0.132845025786	0.0357042677634	0.0127281583827
a31	0.068097415939	0.110638960226	0.157558724733	0.165342841056	0.161728788152	0.160829911145	0.131383913929	0.0331668859211	0.0112525979276
a37	0.0628389926463	0.0979338700753	0.163274921578	0.174764583685	0.168972352717	0.167610677048	0.132193227976	0.0242391236404	0.0081722676092
a19	0.0611839055488	0.100060960025	0.170222720526	0.175726874562	0.165867880906	0.164375292349	0.126377174659	0.0273399962135	0.00884522970307
a37	0.0669659385163	0.107460818008	0.168636283509	0.170436864854	0.158762550302	0.157286474116	0.120141623553	0.0385932944045	0.011716177901
a31	0.0675121908388	0.100311494003	0.165296217836	0.173158144951	0.163689210101	0.162250641372	0.122713834518	0.0344582828015	0.010609976367
a39	0.0608751632796	0.0866882266677	0.169811512612	0.181234054984	0.1734553467	0.172065000457	0.129116878173	0.0198910312672	0.00686279042233
a35	0.0591915974265	0.0888995308892	0.176291344204	0.180825441661	0.171608185567	0.170371536819	0.128509806058	0.0179145090891	0.00638806704078
a20	0.0641511524755	0.0977084836297	0.176475334735	0.175696473887	0.165480958522	0.164392075606	0.124932073353	0.0236241920297	0.00753927568026
a31	0.0627671304918	0.0856319662099	0.171313594912	0.177799807962	0.173023826174	0.172761298535	0.129163609118	0.0208803170099	0.00665847732675
a33	0.0530765371639	0.0572693604033	0.173662178304	0.186843502654	0.183895708725	0.186581242845	0.142529259706	0.01154030667	0.00460191780892
a23	0.0487760950546	0.0453696668011	0.178020696101	0.179816074218	0.181133586242	0.190539314282	0.162209096569	0.00953913955667	0.00459631586964
a31	0.0424973823515	0.0359610966004	0.168333385367	0.182454578073	0.187120178747	0.202662694761	0.16806037219	0.00833905741889	0.00457124695655
a37	0.0316601147838	0.0217303865335	0.150824538456	0.198830592691	0.200612706249	0.22628946492	0.15967027073	0.00655582913963	0.00382610008552
a31	0.0269060015946	0.0158126191778	0.142270306152	0.20823762423	0.200999472083	0.238402868307	0.156184760243	0.00696001747988	0.00422631046184
a3	0.0251067728649	0.0147067060593	0.133280400717	0.22076127141	0.182840910694	0.249069622769	0.158130973414	0.00982870415996	0.00627462182061
a11	0.020300238955	0.0140338508531	0.116029624239	0.22301734047	0.165517590231	0.269828840923	0.170406311138	0.01248433772	0.0083818749402
a31	0.0182526346517	0.0138421877844	0.115524496746	0.214101450157	0.155751240077	0.275716326974	0.179941333713	0.0160657275733	0.0108046249801
a37	0.0251427462172	0.0246078555948	0.123925942249	0.199557923386	0.136418840026	0.256739158991	0.175254681238	0.0327655478578	0.0255872959934
a11	0.0305146807391	0.0387211568649	0.11577691075	0.185900841129	0.122725323342	0.249959589664	0.169814587079	0.0469285686193	0.0396582986645
a39	0.0275251585797	0.0406861656216	0.101107453583	0.177295020376	0.126583914447	0.275530429888	0.17214606236	0.0422075815398	0.0369181582215
a20	0.0236839075266	0.0363860685405	0.0943520245277	0.170666386792	0.133284971482	0.300100883296	0.17700971412	0.0340145658466	0.0305014154072
a44	0.0260226921755	0.0359323678468	0.0912568248426	0.169523528931	0.140314853827	0.278804114432	0.193530474707	0.0341162662822	0.0304988491357
a31	0.0364873860585	0.0479190259489	0.0842705849475	0.16263465631	0.141234401276	0.241036818144	0.190575021569	0.0494707047607	0.0463714133786
</S>	0.0429454410292	0.0579098904744	0.0789879374738	0.155067848155	0.137280795638	0.232631339072	0.174151780784	0.0614849798803	0.0595400136893
