 	ho	finito	di	scrivere	</S>
a38	0.23069431	0.1083526825	0.308358515	0.2880198	0.064574677
a31	0.33400995	0.0892402531667	0.305248058333	0.234294383333	0.037207373
a15	0.409678233333	0.0642088767222	0.312656506111	0.189047994444	0.0244084083333
a18	0.416454717778	0.0573254889074	0.33523979537	0.170322351481	0.0206576434444
a31	0.468317162593	0.0431061399691	0.320220125123	0.146038783827	0.0223177638148
a37	0.560101754198	0.0300491669897	0.259872381708	0.124111111276	0.0258655329383
a31	0.603394184733	0.0284771279966	0.214390073903	0.116579223759	0.0371593646461
a0	0.580857728244	0.0366605006655	0.190663474634	0.133651281253	0.058167026882
a31	0.487686582748	0.0511418742218	0.194419611545	0.173344980418	0.0934069756273
a18	0.379571934249	0.0719707364073	0.198887843848	0.210035356806	0.139534158542
a31	0.27747946475	0.0901090771358	0.204165244616	0.250367258935	0.177878979514
a39	0.19846565825	0.100664740712	0.210966741539	0.281635166312	0.208267713171
a20	0.154026834083	0.112163396904	0.212930910513	0.299448918771	0.221429951057
a31	0.119905577694	0.128918775635	0.215170660171	0.317225906257	0.218779093686
a8	0.106733730898	0.144001561878	0.215328556724	0.317136268752	0.216799901229
a20	0.104402270299	0.159823043959	0.218507838908	0.298084472917	0.21918238041
a31	0.107008953433	0.176688347986	0.215850822969	0.284586934306	0.21586493347
</S>	0.108934486716	0.182696133993	0.211241121484	0.286087967153	0.211040276735
