 	sto	e	cucino	</S>
a31	0.388677825	0.44958423	0.118776572	0.042961412
a20	0.429857165	0.445798243333	0.0962082386667	0.028136374
a31	0.455541455	0.456469494444	0.0678061728889	0.020182862
a37	0.468711405	0.463665864815	0.0491281776296	0.0184945166667
a18	0.449856938333	0.475483921605	0.0523703492099	0.0222887702222
a31	0.386143269444	0.491412087202	0.0789353064033	0.0435092980741
a20	0.316356329815	0.486668352401	0.120028348801	0.076946917358
a31	0.261304639938	0.459049454134	0.158521752934	0.121124125786
a28	0.216156426646	0.415623584711	0.196263327645	0.171956641929
a33	0.215088875549	0.35754812157	0.221141059215	0.206221923976
a31	0.236733958516	0.30580963719	0.231515503072	0.225940901325
</S>	0.238932504258	0.289600083595	0.237400871536	0.234066550662
