 	non	ha	che	li	aspettiamo	</S>
a46	0.267375385	0.17875966	0.168030385	0.25666707	0.058043751	0.0711237725
a31	0.307402978333	0.173585073333	0.156224588333	0.275356663333	0.035917771	0.0515129021667
a15	0.316953216111	0.176548214444	0.161939546111	0.275901477778	0.0282333703333	0.0404241277222
a31	0.329784098704	0.172180751481	0.159668562037	0.278718349259	0.0239269534444	0.0357212349074
a28	0.358014009568	0.15520368716	0.137703050679	0.28879632642	0.0229795671481	0.0373033209691
a20	0.390036619856	0.135012082387	0.11423666356	0.29285321214	0.025788583716	0.042072831323
a11	0.407858673285	0.118718900796	0.0970297511867	0.292049370713	0.0339193032387	0.0504240177743
a31	0.356540984428	0.120590563599	0.0983238403956	0.277983056904	0.0664427444129	0.0801187782581
a11	0.286989011476	0.133177224533	0.106345466799	0.249422372301	0.102370088138	0.121695776086
a31	0.228819027159	0.145838084844	0.112099322266	0.224878957434	0.133924916046	0.154439662029
a46	0.166823512386	0.152020334948	0.117345168755	0.201338942478	0.173649668682	0.188822350676
a31	0.137869562129	0.150689241649	0.122952407585	0.186585857493	0.194695642894	0.207207290225
a11	0.12402354871	0.144765177216	0.126035935862	0.177459405831	0.207738144298	0.219977813408
a31	0.120420502903	0.143501092405	0.132323548621	0.17367777861	0.209462381433	0.220614721136
a11	0.117333750968	0.144201474135	0.137782126207	0.176774339537	0.208533743811	0.215374597045
a46	0.127188256989	0.148374984712	0.144868022069	0.174286359846	0.200234234604	0.205048189015
</S>	0.139748273495	0.156983447356	0.154930871035	0.172682004923	0.186566697302	0.189088764508
