 	avete	cucinato	le	verdure	</S>
a31	0.39329255	0.035958017	0.41961661	0.0946932875	0.056439575
a46	0.435469723333	0.0202941523333	0.44635297	0.0654692481667	0.0324139066667
a20	0.465395814444	0.0127430403444	0.45674833	0.0443936627222	0.0207191272222
a31	0.484170678148	0.0122551426815	0.444917743333	0.0372242195741	0.0214321707407
a17	0.482703569383	0.0173419412272	0.427720627778	0.0415520275247	0.0306818092469
a31	0.452216786461	0.0314699324091	0.402034609259	0.0614080391749	0.0528706504156
a35	0.389513765487	0.0531942474697	0.372168343086	0.0965168163916	0.0886068968052
a31	0.307398545162	0.0882972958232	0.339707131029	0.135550495464	0.129046582268
a46	0.232382501721	0.129442731941	0.30042786701	0.170696685155	0.167050234089
a38	0.196876373907	0.159371120647	0.268343939003	0.188791088385	0.186617501363
a17	0.207588854636	0.171691143549	0.251708333001	0.185270286128	0.183741407121
</S>	0.222375782318	0.170737276775	0.2490589715	0.179736998064	0.178091003561
