 	se	vieni	ogni	giorno	a	casa	mia	compra	il	pane	</S>
a31	0.079388894	0.0699766	0.06520514	0.062844655	0.065646069	0.0418699585	0.093614488	0.131269515	0.15733762	0.178638165	0.0542089245
a37	0.107000834667	0.09096893	0.082403568	0.0757602116667	0.0754629416667	0.0501160241667	0.0887931846667	0.102964031667	0.14675561	0.141158145	0.0386164911667
a31	0.124641528222	0.102898021667	0.0906032406667	0.0794898938889	0.0769040592222	0.0488146950556	0.0750422448889	0.0936457805557	0.15280771	0.125888941667	0.0292638470556
a20	0.131385719407	0.110272532222	0.0965317202222	0.0845495946296	0.0823724464074	0.0403297020185	0.055486150963	0.0917649801852	0.16923366	0.118058860556	0.0200146230185
a31	0.141400526469	0.120979490741	0.104436210074	0.0917612048765	0.0896357421358	0.0339237066728	0.042997406321	0.0883822417284	0.169221116667	0.102204976852	0.0150573716728
a20	0.15068479549	0.12938802358	0.108318203358	0.0963117949588	0.0950713673786	0.0284272495576	0.0333552677737	0.0869061342428	0.169824322222	0.089593582284	0.0121192498909
a31	0.157815018497	0.13870847786	0.112694753119	0.101507623653	0.100273449126	0.0254949375192	0.0289033612579	0.0863900280809	0.159671457407	0.0772909207613	0.0112499516303
a11	0.162615996166	0.145191975953	0.11509471304	0.104702316551	0.103179379709	0.0251761118397	0.027684905086	0.0885416373603	0.148763512469	0.0680758485871	0.0109735942101
a31	0.162384728722	0.150511818651	0.116634594347	0.10690213885	0.104947939903	0.0253832992799	0.0277538896953	0.0918732441201	0.140947130823	0.0607793868624	0.01188181307
a20	0.158800922907	0.152125982884	0.117289674782	0.10797933795	0.105904913301	0.02742131476	0.0297168638984	0.101812464707	0.129817790274	0.0553032189541	0.0138274880233
a31	0.150403084302	0.149812890961	0.117548652927	0.108454614317	0.107662574434	0.0299413655867	0.0328834322995	0.111924749902	0.121427370091	0.0529114749847	0.0170297950078
a29	0.140591134767	0.148099556987	0.119727117642	0.110062142772	0.109737958145	0.0322899418622	0.0353898997665	0.122240839967	0.112418676697	0.0496919759949	0.0197507786693
a46	0.124252454922	0.137090182329	0.116009517881	0.108016635591	0.110962066048	0.0375619056207	0.0423128282555	0.136600343322	0.106625328899	0.056036238665	0.0245324842231
a18	0.103188698307	0.124003055443	0.110430719294	0.105639080197	0.113398248683	0.0405784488736	0.0488540100852	0.152038091107	0.107034950966	0.0648834662217	0.0299512214077
a31	0.089468467769	0.110572479814	0.102886888098	0.100806615066	0.113330662894	0.0438443626245	0.0524905490284	0.169040373702	0.102161291655	0.0751665537406	0.0402317781359
a28	0.0795909842563	0.099451849938	0.0980333610327	0.0985423916887	0.116368037631	0.0488749052082	0.0565870346761	0.183134387901	0.0937477305517	0.0766253362469	0.049043973712
a20	0.0696273080854	0.086667406646	0.0889953036776	0.0912006372296	0.10917030121	0.0498857050694	0.0595948032254	0.207536715967	0.0987668848506	0.085163116749	0.053391771904
a41	0.0563177913618	0.067037428882	0.0699624972259	0.0723986007432	0.08639825707	0.0450658273565	0.0578293840751	0.245231535322	0.117001156284	0.11772935025	0.065028102968
a28	0.0439607924539	0.0499328576273	0.0520395100753	0.0538867619144	0.06433336369	0.0364776714522	0.057963260025	0.260388285107	0.144276132095	0.152377983417	0.0843633693227
a8	0.0382950834846	0.0420475062091	0.0427923806918	0.0437390626381	0.0510738538967	0.0309630138174	0.0601600340083	0.259747058369	0.169913760698	0.165713914472	0.0955543331076
a23	0.0379642361615	0.0409404120697	0.0407991312306	0.0413464162127	0.0468667726322	0.0291414789391	0.0637021166694	0.25427054279	0.178394563566	0.166667728157	0.0999065810359
