 	non	ha	da	mangiare	</S>
a31	0.30486541	0.202160515	0.0839234055	0.35533346	0.053717242
a20	0.37058346	0.218272475	0.0503007888333	0.332915143333	0.0279281791667
a31	0.433504783333	0.235952725	0.0363637242778	0.273886297778	0.0202924885556
a41	0.505306514444	0.244798278333	0.0260746234259	0.203083652593	0.0207369371852
a10	0.564653751481	0.217013512778	0.0236422634753	0.167862820864	0.0268277000617
a31	0.557236403827	0.176958267593	0.0353632884918	0.177102360288	0.0533397000206
a15	0.456205031276	0.165061769198	0.0617656484973	0.213570433429	0.103397126674
a31	0.308084620425	0.170451726399	0.109507002832	0.248732751143	0.163223918891
a39	0.204999336808	0.165419862133	0.148768347611	0.265357803714	0.215454642964
a37	0.161285615603	0.164350944044	0.178064369204	0.260266784571	0.236032274321
</S>	0.144435147802	0.168982657022	0.201059464602	0.249595657285	0.23592706716
