 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.251699775	0.051238523	0.056933206	0.37038172	0.18786758	0.081879148
a20	0.330437648333	0.027375985	0.0327858783333	0.38959544	0.173693526667	0.046111472
a31	0.401978032778	0.0185326338333	0.0234482224444	0.367207673333	0.156429785556	0.032403615
a28	0.496716670926	0.0157155477778	0.0194554061481	0.309767657778	0.130710038519	0.0276346363333
a31	0.566148106975	0.0163883172593	0.0193586150494	0.255590952593	0.11184142484	0.0306725217778
a13	0.594885418992	0.0212179477531	0.0234672553498	0.210064854198	0.112402878613	0.0379616012593
a18	0.561137686331	0.0295746505844	0.0308786604499	0.183021564733	0.140792857871	0.0545945624198
a31	0.468207758777	0.0405068078615	0.0404045078166	0.181862068244	0.18624222929	0.0827765991399
a27	0.375318022926	0.0547795192872	0.0541343856055	0.184598006081	0.222545403097	0.108624654713
a31	0.269756884309	0.0745363730957	0.0722483038685	0.186872072027	0.258391961032	0.138194431571
a20	0.186149801436	0.0899699676986	0.0864742646228	0.185017160676	0.282915187011	0.16947363719
a31	0.142422102479	0.107081889233	0.101633990208	0.182557726892	0.28175559567	0.18454870573
a39	0.11415021616	0.118550195078	0.110901402069	0.187442095631	0.274402515223	0.194553565243
a31	0.104086877387	0.132322203693	0.12470632069	0.188694888544	0.253047725074	0.197141955081
a33	0.0964227277957	0.153855591231	0.145674993563	0.188966042848	0.222896771691	0.19218386836
</S>	0.0948058538979	0.159774870615	0.151409011782	0.190085556424	0.212301525845	0.19162319418
