 	ancora	non	mi	sono	vestito	</S>
a8	0.239346105	0.227640285	0.301181185	0.03419545835	0.1298129275	0.0678240945
a31	0.289136235	0.258201375	0.303661941667	0.0163241930167	0.0986606341667	0.0340156551667
a10	0.325293668333	0.263274288333	0.291612513889	0.0107472706722	0.0872176313889	0.0218546377222
a31	0.348373646111	0.269874822778	0.280838427963	0.0088747675574	0.0747965937963	0.0172417472407
a18	0.361684202037	0.280139294259	0.281328925988	0.0084423463858	0.0547916745988	0.0136135370802
a31	0.364833420679	0.284329704753	0.284989201996	0.00859499866193	0.0446031615329	0.0126494700267
a20	0.36965489356	0.276573961584	0.285374533999	0.010823164054	0.0432078238443	0.0143655803422
a31	0.372738261187	0.262546163861	0.282644031333	0.0149009801847	0.0478727346148	0.0192977857807
a13	0.364501750396	0.247132601287	0.275962490444	0.0226324527282	0.0613898268716	0.0283808282602
a35	0.324728560132	0.225902503762	0.269884980148	0.0408170575761	0.0876828159572	0.0509840414201
a39	0.290142743377	0.199295147921	0.273672383383	0.0595940125254	0.103986650319	0.07330903714
a46	0.261274414459	0.17428743264	0.286251127794	0.0789363975085	0.110072266773	0.08917832238
a31	0.19786276482	0.146063634213	0.262646719265	0.123040062503	0.141493952258	0.128892812793
a20	0.15879430494	0.124106398071	0.216687089755	0.161019007501	0.173020827419	0.166372317598
a31	0.139690401647	0.122034579357	0.197178569918	0.175908589167	0.18464159914	0.180546232533
a39	0.118544953882	0.119081809786	0.185735616639	0.189414459722	0.19466692638	0.192556230844
a31	0.111335694627	0.122001599929	0.180279022213	0.193325569907	0.197201818793	0.195856310281
</S>	0.108715297314	0.131493069964	0.182736146106	0.191124344954	0.193352914396	0.19257826514
