 	volevo	Maria	domani	di	venire	da	me	</S>
a20	0.17815496	0.104590242	0.0558415	0.095153797	0.17276851	0.133227095	0.187501385	0.072762511
a24	0.217237973333	0.128319117333	0.0597659973333	0.113090285667	0.151916026667	0.121818238333	0.152742851667	0.0551095056667
a31	0.272636451111	0.128773360444	0.0513773631111	0.103647545222	0.161690955556	0.0955510967777	0.149090700556	0.0372325492222
a17	0.304401623704	0.123955344815	0.046343283037	0.0954965767407	0.171764128519	0.0779266545926	0.152591760185	0.0275206820741
a31	0.337243854568	0.130152424938	0.041521994679	0.0941786239136	0.169131136173	0.0631856848642	0.142887350062	0.021698969358
a37	0.391790241523	0.136363231646	0.030694596893	0.0900120046379	0.172424675391	0.0388073376214	0.125227430021	0.0146805299527
a10	0.407802473841	0.139848673882	0.024169994631	0.087455863546	0.18062164513	0.0315301095405	0.115694750007	0.0128765084842
a31	0.43565062128	0.152622181294	0.019446375877	0.0826224545153	0.171524645043	0.0248300951802	0.101478240002	0.0118253704947
a20	0.49975855376	0.157279833765	0.0164823706257	0.0720759075051	0.148702141681	0.0174340807267	0.0781512626673	0.0101158658316
a33	0.570606364587	0.130278489588	0.0158563382086	0.0561511851684	0.12677694056	0.0166316259089	0.0715919468891	0.0121071489439
a20	0.588080701529	0.113913183196	0.0162096394029	0.0506240887228	0.12309369352	0.0190511686363	0.073445598963	0.0155819439813
a31	0.61692070051	0.112120169399	0.0154852281343	0.0464430085743	0.11154526784	0.0183105048788	0.0627959876543	0.0163791163271
a5	0.691166753503	0.0989010197997	0.0152096027114	0.0369397615248	0.0801530209467	0.0159646159596	0.0455768505514	0.0160883447757
a17	0.718832671168	0.0791524365999	0.0166554942371	0.0320988088416	0.0684067486489	0.0189268016532	0.0445634225171	0.0213635932586
a11	0.714507623723	0.0588697432	0.0166915342457	0.0267056082805	0.0718696545496	0.0238406038844	0.0571532765057	0.0303619317529
a10	0.698819207908	0.0472162787333	0.0167004032486	0.0232851437602	0.0838155518499	0.0281232312948	0.0647028555019	0.0373372899176
a31	0.627594102636	0.0463197739111	0.0265330460829	0.0295027832534	0.10173227395	0.0437345284316	0.073351739834	0.0512317353059
a24	0.454609864212	0.0564580989704	0.050491121361	0.0474425910845	0.11908151265	0.0826659841439	0.101797161278	0.0874536737686
a46	0.320614538071	0.0624136249901	0.073276383787	0.0644138203615	0.138324124217	0.107362971381	0.122253825426	0.11134071259
a20	0.271348716024	0.0620365909967	0.085145807929	0.0719658467872	0.154125874739	0.111300163794	0.128474963475	0.115602028863
a31	0.232019955341	0.0645186343322	0.0956858593097	0.0814964189291	0.156241474913	0.116740669598	0.132603891158	0.120693088288
a20	0.192308538447	0.0681475097774	0.10879556177	0.0931883063097	0.151917074971	0.124513808199	0.134250457053	0.126878738096
a31	0.160808592816	0.0709523215925	0.116956055923	0.100126222103	0.15026840499	0.131147252733	0.137125415684	0.132615769365
</S>	0.158102536408	0.0729528057963	0.118626237962	0.103662221051	0.151210972495	0.130028191367	0.134356392842	0.131060709682
