 	questa	canzone	venne	scritta	molti	anni	fa	da	un	nostro	poeta	</S>
a31	0.028117902	0.0191547595	0.0641217585	0.031571852	0.091907267	0.094606745	0.113179018	0.0886968005	0.1088328	0.1034761125	0.163059495	0.0932754935
a11	0.021514102	0.00962774033333	0.0650246235	0.024702652	0.084380277	0.0976277696667	0.130246046	0.0924632555	0.129474183333	0.105641079167	0.173087791667	0.0662104601667
a15	0.0206014763333	0.00653108694444	0.0752040695	0.023115974	0.0776144623333	0.0979476532222	0.128919885333	0.0892645398333	0.143008081111	0.106677549722	0.177373900556	0.0537412993889
a11	0.0218571044444	0.00562792498148	0.0961823531667	0.0258451326667	0.0750666991111	0.0976485647407	0.129784558444	0.0879981212778	0.139598977037	0.101972737907	0.171466920185	0.0469508967963
a13	0.0259271971481	0.00594310986049	0.117711897722	0.0330178885556	0.074982638037	0.0981185549136	0.129966819481	0.0884963370926	0.127903262346	0.0939919073023	0.157271643395	0.0466687312654
a7	0.030002015716	0.0063775020535	0.125884715907	0.0398865268519	0.0758279960123	0.0986516166379	0.128634036494	0.0890395223642	0.119916514115	0.0890969624341	0.146763941132	0.0499186530885
a18	0.0318786089053	0.00652188125117	0.128582981969	0.043156317284	0.0769032920041	0.0985928988793	0.128478535498	0.0893079107881	0.115575048038	0.087047387478	0.142267040377	0.0516881090295
a31	0.0238270184684	0.00668957375039	0.10627787299	0.0331224097613	0.0655762520014	0.0867673349598	0.140777655166	0.080276893596	0.133567626013	0.0867823791593	0.187866233459	0.0484687696765
a11	0.0150070523228	0.00626562875013	0.10348844333	0.0222988815871	0.0616813340005	0.0809519403199	0.146808341722	0.0766620631987	0.139406125338	0.0896078797198	0.21400703782	0.0438153148922
a39	0.0150331964409	0.00529587008338	0.143538934443	0.023910055529	0.0716675533335	0.0872970767733	0.136182260574	0.0827816947329	0.119269409779	0.0917306199066	0.18311710594	0.0401762549641
a31	0.013229165347	0.00599093402779	0.122450604814	0.0213651101763	0.0625801924445	0.0782982799244	0.138416890191	0.075655229911	0.132636444593	0.0890809766355	0.21899922198	0.041296963988
a11	0.010348995649	0.00645232900926	0.0950668316047	0.0160128577254	0.0592127154815	0.0765588109748	0.14269259673	0.0743342699703	0.142256023198	0.0915994222118	0.243058847327	0.0424063296627
a18	0.0112163162163	0.00549840820309	0.123455273868	0.0172340199085	0.0712693918272	0.0870457736583	0.136176045577	0.0833808699901	0.124292421399	0.0959705860706	0.204132299109	0.0403286325542
a15	0.0138748414054	0.0051088183677	0.150348571289	0.0228320179695	0.0754670839424	0.0899744112194	0.131411291859	0.08515645333	0.113655012466	0.0934441373569	0.178342373036	0.0403850191847
a31	0.0131492281351	0.0062317825559	0.119228491096	0.0215550836565	0.0636327219808	0.0797056030731	0.134317797286	0.0752600544433	0.129309397489	0.086391951119	0.226954357679	0.0442635330616
a11	0.0105498517117	0.00682178551863	0.088585649032	0.0158769142188	0.0586029213269	0.0764207303577	0.137698649095	0.0724988948144	0.140162302496	0.087838352373	0.259869715893	0.0450742263539
a35	0.0108770439039	0.00594191117288	0.116119617677	0.0167399924063	0.0694964337756	0.0865125934526	0.134437519698	0.0815564249381	0.125345567499	0.094623290791	0.216330145298	0.0420194607846
a8	0.0106597036346	0.00601766855763	0.110395952559	0.0162890468021	0.0706504132585	0.0884336478175	0.136365846566	0.0843415349794	0.126053715833	0.095658288597	0.214281541766	0.0408526322615
a31	0.00949042021153	0.00742992268588	0.066406405853	0.0130883906007	0.0571097507528	0.0794047826058	0.137314155522	0.0763004469931	0.146074478611	0.0903299528657	0.275696250589	0.0413550527538
a17	0.00921323523718	0.00773563089529	0.0577186402843	0.0122338478669	0.0539020979176	0.0776187642019	0.135947758507	0.0738562509977	0.150337529537	0.0897114559552	0.29021970353	0.0415051229179
a31	0.00896562724573	0.00811374063176	0.0546010877614	0.0120897056223	0.0496901559725	0.0723192980673	0.132536172836	0.0707540336659	0.159768856512	0.0911789653184	0.299584201177	0.040398181306
a46	0.00830823274858	0.00863308321059	0.0389436569205	0.0108386378741	0.0419259619908	0.0671945226891	0.134020010945	0.0682763878886	0.171492015504	0.0928507017728	0.319568263726	0.0379485354353
a31	0.00794793191619	0.0090090580702	0.0334036653068	0.0103596806247	0.0369482953303	0.0624211162297	0.128760890315	0.0635546959629	0.184405581835	0.0958606522576	0.332047001242	0.0352814561451
a24	0.0072176323054	0.00870169035673	0.0324642467689	0.0095265698749	0.0354598351101	0.0605846340766	0.128126236772	0.0615501286543	0.190002033945	0.0985351224192	0.332251563747	0.0355803403817
a31	0.00693965396847	0.00877825211891	0.031973170923	0.00930418029163	0.03438200937	0.0578754453589	0.125277582257	0.0577120628848	0.193204717982	0.0967793741397	0.342159117916	0.0356144531272
a17	0.00699961018949	0.0095305027063	0.0261440593077	0.00958270809721	0.02887127879	0.0506780947863	0.120214384086	0.0505421176283	0.204269419327	0.0923953400466	0.364202389305	0.0365701057091
a11	0.00672167506316	0.00806263156877	0.0375365021026	0.00919807569907	0.04074904093	0.0658062255954	0.136083188029	0.0650872425428	0.182723609776	0.0980845586822	0.311538806435	0.0384084382364
a15	0.00743361868772	0.00666584632292	0.0668398173675	0.0103523865664	0.0556710466433	0.0807101068651	0.141126179343	0.0776572908476	0.154200739925	0.101964579561	0.258964582145	0.0384137984121
a31	0.00848661489591	0.00795920357431	0.0635359264558	0.0116657171888	0.0482193845478	0.069073320955	0.124003989781	0.0662791869492	0.161925576642	0.0933112948537	0.304503714048	0.041036105804
a20	0.00810810943197	0.00928388719144	0.0371424161519	0.0108272677296	0.0353604488493	0.057947886985	0.122059519927	0.0566674623164	0.182749315547	0.0887712116179	0.349904251349	0.041178243268
a15	0.00702015594399	0.00818485806381	0.0362461710506	0.00933390157653	0.0419558596164	0.0711174053283	0.141698713309	0.0685580687721	0.175009275182	0.097349102206	0.305512013783	0.0380144710893
a31	0.00791584598133	0.0095652943546	0.0334626313502	0.0103941878588	0.0368364492055	0.0621371564428	0.124286261103	0.058921690924	0.180246281727	0.0919760340687	0.347435087928	0.0368230736964
a24	0.00844509032711	0.0108504684515	0.0253332664501	0.0110997161196	0.0274825004018	0.0500337711476	0.114182757034	0.048679999308	0.194738370576	0.0867216746896	0.385984055976	0.0364483212321
a41	0.0073021251757	0.00949299648383	0.02570051615	0.00979856453987	0.0336757331339	0.0612619643825	0.137317552345	0.058819075436	0.191167506859	0.0906072615632	0.337056285325	0.0378004170774
a46	0.0073431317919	0.00902243182794	0.0257949327167	0.00954193717996	0.036133539378	0.0657982121275	0.144391137448	0.0622583064787	0.18360353562	0.0893385305211	0.328346808442	0.0384275023591
a23	0.00796360793063	0.00879484227598	0.0283374122389	0.00977542839332	0.0372278847927	0.0690120100425	0.144113332483	0.0656202068262	0.174928765207	0.0916309788404	0.326065972814	0.036529576453
a31	0.0101049843102	0.010784929092	0.0273242240796	0.0116858684644	0.0321313832642	0.0586283193475	0.118803484161	0.0551052932754	0.173300948402	0.0870502582801	0.376751347605	0.0383289688177
