 	Marika	tu	hai	mangiato	</S>
a8	0.39924584	0.106301665	0.098178051	0.33179359	0.0644808675
a31	0.51977096	0.0808849583333	0.053872495	0.309462233333	0.0360093615
a24	0.564474936667	0.0819789774444	0.038702673	0.290190631111	0.0246527938333
a31	0.641572795556	0.0703711304815	0.0324976083333	0.232395273704	0.0231632022778
a28	0.732669965185	0.0461054074938	0.0269604874444	0.168465564568	0.0257985760926
a31	0.768090335062	0.0346043214979	0.0256205621481	0.140294598189	0.0313901533642
a3	0.754158645021	0.0340289988326	0.0304575013827	0.136211099396	0.0451437154547
a18	0.67247071834	0.0435843762775	0.0472584444609	0.158737186465	0.0779492718182
a31	0.55625494278	0.0591161587592	0.082790346487	0.182069192155	0.119769350606
a23	0.46895943426	0.0728006662531	0.111309735496	0.193806127385	0.153124010202
a31	0.356231368087	0.0969516754177	0.148250241832	0.211083209128	0.187483490067
a20	0.246461046029	0.116953505139	0.186674847277	0.229803526376	0.220107063356
</S>	0.214502973014	0.118027322569	0.193781008639	0.239791428188	0.233897246678
