 	viene	fabbricato	</S>
a31	0.639185755	0.277009495	0.0838047045
a24	0.750369095	0.206590968333	0.0430399145
a31	0.823690798333	0.143318359444	0.0329908408333
a18	0.872430166111	0.092767659148	0.0348022012778
a31	0.874365388704	0.0791180723827	0.0465165587593
a37	0.818311796235	0.101496317461	0.0801918795864
a31	0.684268012078	0.166613309154	0.149118649862
a20	0.548655384026	0.221691316385	0.229653259954
a41	0.438840248009	0.269204178795	0.291955553318
a31	0.352624629336	0.319241289598	0.328134091106
a35	0.299385216445	0.347060096533	0.353554670369
</S>	0.267746378223	0.361687533267	0.370566035185
